,0
A1,16219.0
A2,6453.0
A3,17165.0
A4,7548.0
A5,17186.0
A6,7765.0
A7,17331.0
A8,7818.0
A9,17150.0
A10,7290.0
A11,16530.0
A12,6788.0
B1,16680.0
B2,6599.0
B3,16857.0
B4,6944.0
B5,17239.0
B6,7193.0
B7,16901.0
B8,7674.0
B9,17044.0
B10,7018.0
B11,16896.0
B12,6994.0
C1,15965.0
C2,5785.0
C3,16666.0
C4,6857.0
C5,16302.0
C6,6632.0
C7,15893.0
C8,6248.0
C9,16072.0
C10,6407.0
C11,16120.0
C12,6399.0
D1,16012.0
D2,5961.0
D3,16602.0
D4,6420.0
D5,16532.0
D6,6535.0
D7,15108.0
D8,5678.0
D9,16022.0
D10,6088.0
D11,16342.0
D12,6254.0
E1,15901.0
E2,5815.0
E3,16403.0
E4,6543.0
E5,16828.0
E6,7680.0
E7,16445.0
E8,6231.0
E9,15857.0
E10,6329.0
E11,15735.0
E12,6471.0
F1,15719.0
F2,5531.0
F3,16078.0
F4,6228.0
F5,15961.0
F6,6331.0
F7,15819.0
F8,5894.0
F9,16053.0
F10,5938.0
F11,15610.0
F12,5969.0
G1,15621.0
G2,5837.0
G3,16567.0
G4,6284.0
G5,16322.0
G6,6377.0
G7,15755.0
G8,6265.0
G9,15937.0
G10,5942.0
G11,15755.0
G12,6091.0
H1,16228.0
H2,5728.0
H3,16445.0
H4,6392.0
H5,16370.0
H6,6057.0
H7,15714.0
H8,6211.0
H9,15850.0
H10,5960.0
H11,15719.0
H12,6151.0
