,0
A1,269.0
A2,103.0
A3,235.0
A4,114.0
A5,258.0
A6,128.0
A7,407.0
A8,152.0
A9,270.0
A10,118.0
A11,349.0
A12,2671.0
B1,201.0
B2,162.0
B3,217.0
B4,123.0
B5,244.0
B6,120.0
B7,275.0
B8,116.0
B9,246.0
B10,162.0
B11,304.0
B12,3014.0
C1,359.0
C2,129.0
C3,407.0
C4,169.0
C5,452.0
C6,149.0
C7,433.0
C8,270.0
C9,437.0
C10,167.0
C11,452.0
C12,844.0
D1,223.0
D2,105.0
D3,246.0
D4,107.0
D5,241.0
D6,112.0
D7,260.0
D8,107.0
D9,239.0
D10,114.0
D11,261.0
D12,2460.0
E1,2351.0
E2,606.0
E3,2879.0
E4,534.0
E5,2870.0
E6,525.0
E7,2803.0
E8,650.0
E9,3075.0
E10,521.0
E11,2812.0
E12,67119.0
F1,219.0
F2,102.0
F3,226.0
F4,100.0
F5,233.0
F6,107.0
F7,234.0
F8,103.0
F9,256.0
F10,353.0
F11,331.0
F12,3553.0
G1,215.0
G2,112.0
G3,225.0
G4,105.0
G5,227.0
G6,121.0
G7,232.0
G8,114.0
G9,230.0
G10,103.0
G11,239.0
G12,5941.0
H1,234.0
H2,116.0
H3,214.0
H4,169.0
H5,303.0
H6,131.0
H7,362.0
H8,119.0
H9,221.0
H10,734.0
H11,237.0
H12,8421.0
