,fluorescence,Ligand (uM),p38 (uM)
A1,1685,0.875,1
A2,410,0.875,0
A3,1749,0.875,1
A4,400,0.875,0
A5,1750,0.875,1
A6,418,0.875,0
A7,1964,0.875,1
A8,481,0.875,0
A9,1798,0.875,1
A10,389,0.875,0
A11,1882,0.875,1
A12,2502,0.875,0
B1,1133,0.875,1
B2,395,0.875,0
B3,1234,0.875,1
B4,373,0.875,0
B5,1205,0.875,1
B6,341,0.875,0
B7,1224,0.875,1
B8,323,0.875,0
B9,1210,0.875,1
B10,336,0.875,0
B11,1252,0.875,1
B12,2480,0.875,0
C1,3197,0.875,1
C2,348,0.875,0
C3,3176,0.875,1
C4,358,0.875,0
C5,3226,0.875,1
C6,383,0.875,0
C7,3464,0.875,1
C8,403,0.875,0
C9,3543,0.875,1
C10,568,0.875,0
C11,3486,0.875,1
C12,1089,0.875,0
D1,926,0.875,1
D2,258,0.875,0
D3,1038,0.875,1
D4,273,0.875,0
D5,1186,0.875,1
D6,307,0.875,0
D7,1353,0.875,1
D8,374,0.875,0
D9,1534,0.875,1
D10,357,0.875,0
D11,1416,0.875,1
D12,7269,0.875,0
E1,27992,0.875,1
E2,3960,0.875,0
E3,30722,0.875,1
E4,4514,0.875,0
E5,32665,0.875,1
E6,4350,0.875,0
E7,32105,0.875,1
E8,3915,0.875,0
E9,28255,0.875,1
E10,4253,0.875,0
E11,34077,0.875,1
E12,87468,0.875,0
F1,1488,0.875,1
F2,405,0.875,0
F3,1019,0.875,1
F4,336,0.875,0
F5,1028,0.875,1
F6,335,0.875,0
F7,951,0.875,1
F8,339,0.875,0
F9,1644,0.875,1
F10,433,0.875,0
F11,1169,0.875,1
F12,10732,0.875,0
G1,928,0.875,1
G2,302,0.875,0
G3,909,0.875,1
G4,274,0.875,0
G5,963,0.875,1
G6,293,0.875,0
G7,1009,0.875,1
G8,279,0.875,0
G9,1083,0.875,1
G10,345,0.875,0
G11,1132,0.875,1
G12,8999,0.875,0
H1,448,0.875,1
H2,384,0.875,0
H3,439,0.875,1
H4,453,0.875,0
H5,466,0.875,1
H6,355,0.875,0
H7,532,0.875,1
H8,367,0.875,0
H9,447,0.875,1
H10,744,0.875,0
H11,471,0.875,1
H12,17431,0.875,0
