,0
A1,177.0
A2,179.0
A3,200.0
A4,189.0
A5,191.0
A6,184.0
A7,374.0
A8,241.0
A9,193.0
A10,179.0
A11,281.0
A12,775.0
B1,172.0
B2,190.0
B3,156.0
B4,174.0
B5,171.0
B6,155.0
B7,210.0
B8,157.0
B9,169.0
B10,159.0
B11,285.0
B12,453.0
C1,175.0
C2,144.0
C3,165.0
C4,154.0
C5,180.0
C6,164.0
C7,166.0
C8,179.0
C9,187.0
C10,214.0
C11,188.0
C12,579.0
D1,171.0
D2,142.0
D3,167.0
D4,160.0
D5,168.0
D6,158.0
D7,191.0
D8,151.0
D9,162.0
D10,146.0
D11,156.0
D12,434.0
E1,171.0
E2,150.0
E3,179.0
E4,224.0
E5,185.0
E6,170.0
E7,195.0
E8,272.0
E9,199.0
E10,163.0
E11,212.0
E12,3427.0
F1,159.0
F2,135.0
F3,152.0
F4,142.0
F5,159.0
F6,155.0
F7,161.0
F8,150.0
F9,170.0
F10,176.0
F11,161.0
F12,993.0
G1,156.0
G2,133.0
G3,148.0
G4,148.0
G5,159.0
G6,152.0
G7,155.0
G8,147.0
G9,170.0
G10,143.0
G11,150.0
G12,199.0
H1,171.0
H2,159.0
H3,194.0
H4,173.0
H5,192.0
H6,176.0
H7,182.0
H8,166.0
H9,178.0
H10,644.0
H11,203.0
H12,827.0
