,fluorescence,Ligand (uM),p38 (uM)
A1,2810,1.913,1
A2,744,1.913,0
A3,2870,1.913,1
A4,749,1.913,0
A5,2828,1.913,1
A6,789,1.913,0
A7,3045,1.913,1
A8,832,1.913,0
A9,2905,1.913,1
A10,725,1.913,0
A11,2950,1.913,1
A12,2677,1.913,0
B1,2155,1.913,1
B2,840,1.913,0
B3,2285,1.913,1
B4,842,1.913,0
B5,2312,1.913,1
B6,828,1.913,0
B7,2260,1.913,1
B8,726,1.913,0
B9,2259,1.913,1
B10,744,1.913,0
B11,2276,1.913,1
B12,2630,1.913,0
C1,5383,1.913,1
C2,490,1.913,0
C3,6381,1.913,1
C4,708,1.913,0
C5,7544,1.913,1
C6,785,1.913,0
C7,8115,1.913,1
C8,737,1.913,0
C9,8187,1.913,1
C10,936,1.913,0
C11,7476,1.913,1
C12,1273,1.913,0
D1,1836,1.913,1
D2,334,1.913,0
D3,1822,1.913,1
D4,378,1.913,0
D5,1985,1.913,1
D6,396,1.913,0
D7,2190,1.913,1
D8,386,1.913,0
D9,2225,1.913,1
D10,437,1.913,0
D11,2102,1.913,1
D12,9043,1.913,0
E1,38648,1.913,1
E2,11272,1.913,0
E3,48112,1.913,1
E4,8782,1.913,0
E5,39092,1.913,1
E6,7884,1.913,0
E7,36169,1.913,1
E8,7762,1.913,0
E9,36585,1.913,1
E10,7814,1.913,0
E11,38627,1.913,1
E12,72630,1.913,0
F1,2576,1.913,1
F2,633,1.913,0
F3,1725,1.913,1
F4,630,1.913,0
F5,2791,1.913,1
F6,616,1.913,0
F7,1673,1.913,1
F8,583,1.913,0
F9,1615,1.913,1
F10,635,1.913,0
F11,1541,1.913,1
F12,10479,1.913,0
G1,1416,1.913,1
G2,371,1.913,0
G3,1632,1.913,1
G4,375,1.913,0
G5,1545,1.913,1
G6,390,1.913,0
G7,1590,1.913,1
G8,367,1.913,0
G9,1789,1.913,1
G10,386,1.913,0
G11,1736,1.913,1
G12,9550,1.913,0
H1,566,1.913,1
H2,674,1.913,0
H3,625,1.913,1
H4,776,1.913,0
H5,615,1.913,1
H6,585,1.913,0
H7,572,1.913,1
H8,646,1.913,0
H9,593,1.913,1
H10,1080,1.913,0
H11,610,1.913,1
H12,16850,1.913,0
