,fluorescence,Ligand (uM),p38 (uM)
A1,302,0.017,1
A2,204,0.017,0
A3,287,0.017,1
A4,225,0.017,0
A5,293,0.017,1
A6,214,0.017,0
A7,322,0.017,1
A8,317,0.017,0
A9,286,0.017,1
A10,203,0.017,0
A11,325,0.017,1
A12,1381,0.017,0
B1,264,0.017,1
B2,235,0.017,0
B3,269,0.017,1
B4,216,0.017,0
B5,282,0.017,1
B6,199,0.017,0
B7,301,0.017,1
B8,201,0.017,0
B9,274,0.017,1
B10,207,0.017,0
B11,296,0.017,1
B12,1580,0.017,0
C1,292,0.017,1
C2,203,0.017,0
C3,290,0.017,1
C4,195,0.017,0
C5,306,0.017,1
C6,209,0.017,0
C7,288,0.017,1
C8,251,0.017,0
C9,308,0.017,1
C10,290,0.017,0
C11,301,0.017,1
C12,593,0.017,0
D1,273,0.017,1
D2,190,0.017,0
D3,284,0.017,1
D4,198,0.017,0
D5,282,0.017,1
D6,203,0.017,0
D7,287,0.017,1
D8,191,0.017,0
D9,267,0.017,1
D10,198,0.017,0
D11,277,0.017,1
D12,482,0.017,0
E1,599,0.017,1
E2,247,0.017,0
E3,786,0.017,1
E4,243,0.017,0
E5,724,0.017,1
E6,251,0.017,0
E7,700,0.017,1
E8,315,0.017,0
E9,797,0.017,1
E10,324,0.017,0
E11,1167,0.017,1
E12,32663,0.017,0
F1,324,0.017,1
F2,217,0.017,0
F3,355,0.017,1
F4,243,0.017,0
F5,338,0.017,1
F6,243,0.017,0
F7,339,0.017,1
F8,275,0.017,0
F9,382,0.017,1
F10,398,0.017,0
F11,439,0.017,1
F12,1442,0.017,0
G1,303,0.017,1
G2,259,0.017,0
G3,354,0.017,1
G4,253,0.017,0
G5,355,0.017,1
G6,262,0.017,0
G7,318,0.017,1
G8,212,0.017,0
G9,303,0.017,1
G10,201,0.017,0
G11,310,0.017,1
G12,959,0.017,0
H1,365,0.017,1
H2,284,0.017,0
H3,398,0.017,1
H4,363,0.017,0
H5,481,0.017,1
H6,289,0.017,0
H7,321,0.017,1
H8,249,0.017,0
H9,341,0.017,1
H10,508,0.017,0
H11,423,0.017,1
H12,2401,0.017,0
