,0
A1,6970.0
A2,4809.0
A3,7792.0
A4,5782.0
A5,8095.0
A6,6013.0
A7,9554.0
A8,6950.0
A9,10013.0
A10,6529.0
A11,9547.0
A12,5250.0
B1,7342.0
B2,5028.0
B3,7530.0
B4,5489.0
B5,7837.0
B6,5667.0
B7,7904.0
B8,6059.0
B9,8264.0
B10,6118.0
B11,10346.0
B12,5513.0
C1,7311.0
C2,4530.0
C3,7979.0
C4,5611.0
C5,7847.0
C6,5297.0
C7,8887.0
C8,5930.0
C9,9413.0
C10,5925.0
C11,9531.0
C12,5387.0
D1,8942.0
D2,5079.0
D3,9398.0
D4,5603.0
D5,9433.0
D6,5785.0
D7,9297.0
D8,5336.0
D9,10830.0
D10,5626.0
D11,11003.0
D12,5585.0
E1,6665.0
E2,4723.0
E3,7071.0
E4,5519.0
E5,7868.0
E6,6595.0
E7,8511.0
E8,5721.0
E9,8340.0
E10,5744.0
E11,8440.0
E12,5635.0
F1,10545.0
F2,4669.0
F3,10783.0
F4,5411.0
F5,10855.0
F6,5480.0
F7,12233.0
F8,5487.0
F9,12357.0
F10,5564.0
F11,12134.0
F12,5413.0
G1,10499.0
G2,12247.0
G3,11033.0
G4,12386.0
G5,11249.0
G6,8850.0
G7,12220.0
G8,10203.0
G9,13043.0
G10,9963.0
G11,13109.0
G12,14775.0
H1,6037.0
H2,4655.0
H3,6312.0
H4,5381.0
H5,6137.0
H6,5129.0
H7,6832.0
H8,5768.0
H9,7489.0
H10,5549.0
H11,7256.0
H12,5528.0
