,0
A1,1059.0
A2,998.0
A3,1047.0
A4,1138.0
A5,1140.0
A6,1081.0
A7,1170.0
A8,1484.0
A9,1048.0
A10,986.0
A11,1183.0
A12,1995.0
B1,860.0
B2,996.0
B3,941.0
B4,1110.0
B5,1025.0
B6,948.0
B7,1053.0
B8,964.0
B9,966.0
B10,992.0
B11,970.0
B12,1606.0
C1,840.0
C2,838.0
C3,967.0
C4,966.0
C5,1037.0
C6,913.0
C7,927.0
C8,1089.0
C9,1014.0
C10,1309.0
C11,1071.0
C12,2005.0
D1,825.0
D2,824.0
D3,931.0
D4,926.0
D5,924.0
D6,935.0
D7,1110.0
D8,888.0
D9,888.0
D10,854.0
D11,868.0
D12,3280.0
E1,926.0
E2,862.0
E3,1110.0
E4,944.0
E5,1131.0
E6,1081.0
E7,1142.0
E8,1046.0
E9,1048.0
E10,917.0
E11,1097.0
E12,17638.0
F1,768.0
F2,737.0
F3,851.0
F4,801.0
F5,870.0
F6,841.0
F7,818.0
F8,842.0
F9,838.0
F10,971.0
F11,863.0
F12,3028.0
G1,746.0
G2,760.0
G3,809.0
G4,865.0
G5,900.0
G6,854.0
G7,821.0
G8,829.0
G9,872.0
G10,791.0
G11,834.0
G12,2164.0
H1,863.0
H2,811.0
H3,1000.0
H4,1104.0
H5,1113.0
H6,839.0
H7,879.0
H8,863.0
H9,851.0
H10,1761.0
H11,897.0
H12,5829.0
