,0
A1,13780.0
A2,2490.0
A3,14572.0
A4,2803.0
A5,14591.0
A6,2875.0
A7,14321.0
A8,2932.0
A9,14587.0
A10,2740.0
A11,13727.0
A12,2295.0
B1,14378.0
B2,2586.0
B3,14808.0
B4,2749.0
B5,15208.0
B6,2787.0
B7,14656.0
B8,2860.0
B9,14916.0
B10,2667.0
B11,14698.0
B12,2193.0
C1,13765.0
C2,2338.0
C3,14686.0
C4,2771.0
C5,14491.0
C6,2697.0
C7,14305.0
C8,5612.0
C9,14509.0
C10,2752.0
C11,13985.0
C12,2255.0
D1,14102.0
D2,2466.0
D3,15033.0
D4,2722.0
D5,14556.0
D6,2828.0
D7,14170.0
D8,2764.0
D9,14646.0
D10,2714.0
D11,14906.0
D12,2195.0
E1,13363.0
E2,2468.0
E3,13741.0
E4,2646.0
E5,14109.0
E6,2912.0
E7,14042.0
E8,2723.0
E9,13656.0
E10,2775.0
E11,13230.0
E12,2421.0
F1,13787.0
F2,2386.0
F3,14282.0
F4,2647.0
F5,14250.0
F6,2711.0
F7,13942.0
F8,2497.0
F9,14521.0
F10,2674.0
F11,13701.0
F12,2268.0
G1,13668.0
G2,2260.0
G3,14216.0
G4,2457.0
G5,14149.0
G6,2516.0
G7,13935.0
G8,2558.0
G9,13975.0
G10,2433.0
G11,13825.0
G12,6828.0
H1,14151.0
H2,2483.0
H3,14759.0
H4,2710.0
H5,14525.0
H6,2934.0
H7,14057.0
H8,2754.0
H9,14044.0
H10,2516.0
H11,13876.0
H12,2243.0
