fluorescence,Ligand (uM),p38 (uM)
193,0,0.00001
207,0.008,0.00001
204,0.017,0.00001
209,0.038,0.00001
233,0.084,0.00001
244,0.183,0.00001
266,0.4,0.00001
410,0.875,0.00001
744,1.913,0.00001
1295,4.183,0.00001
1973,9.146,0.00001
3124,20,0.00001
