,0
A1,173.0
A2,94.0
A3,187.0
A4,104.0
A5,182.0
A6,109.0
A7,376.0
A8,131.0
A9,194.0
A10,98.0
A11,241.0
A12,1051.0
B1,208.0
B2,159.0
B3,204.0
B4,129.0
B5,254.0
B6,111.0
B7,282.0
B8,108.0
B9,197.0
B10,126.0
B11,246.0
B12,1171.0
C1,204.0
C2,113.0
C3,207.0
C4,110.0
C5,220.0
C6,139.0
C7,247.0
C8,152.0
C9,223.0
C10,169.0
C11,218.0
C12,371.0
D1,244.0
D2,119.0
D3,216.0
D4,114.0
D5,205.0
D6,123.0
D7,204.0
D8,100.0
D9,192.0
D10,99.0
D11,204.0
D12,269.0
E1,377.0
E2,190.0
E3,502.0
E4,181.0
E5,477.0
E6,146.0
E7,432.0
E8,241.0
E9,392.0
E10,130.0
E11,412.0
E12,11980.0
F1,194.0
F2,99.0
F3,195.0
F4,100.0
F5,196.0
F6,116.0
F7,229.0
F8,113.0
F9,200.0
F10,135.0
F11,220.0
F12,1074.0
G1,193.0
G2,109.0
G3,212.0
G4,106.0
G5,189.0
G6,111.0
G7,184.0
G8,101.0
G9,201.0
G10,101.0
G11,183.0
G12,246.0
H1,188.0
H2,101.0
H3,197.0
H4,107.0
H5,206.0
H6,116.0
H7,197.0
H8,111.0
H9,207.0
H10,509.0
H11,230.0
H12,602.0
