,fluorescence,Ligand (uM),p38 (uM)
A1,4286,9.146,1
A2,1973,9.146,0
A3,4407,9.146,1
A4,1986,9.146,0
A5,4256,9.146,1
A6,1943,9.146,0
A7,4331,9.146,1
A8,2045,9.146,0
A9,4334,9.146,1
A10,2040,9.146,0
A11,4307,9.146,1
A12,3140,9.146,0
B1,5479,9.146,1
B2,2177,9.146,0
B3,5678,9.146,1
B4,2005,9.146,0
B5,5720,9.146,1
B6,2110,9.146,0
B7,5296,9.146,1
B8,2134,9.146,0
B9,5360,9.146,1
B10,1997,9.146,0
B11,5410,9.146,1
B12,2800,9.146,0
C1,7883,9.146,1
C2,930,9.146,0
C3,8068,9.146,1
C4,910,9.146,0
C5,7734,9.146,1
C6,992,9.146,0
C7,8055,9.146,1
C8,1044,9.146,0
C9,8395,9.146,1
C10,1192,9.146,0
C11,8256,9.146,1
C12,1163,9.146,0
D1,7189,9.146,1
D2,3157,9.146,0
D3,7030,9.146,1
D4,2970,9.146,0
D5,4998,9.146,1
D6,2014,9.146,0
D7,4971,9.146,1
D8,2065,9.146,0
D9,4918,9.146,1
D10,1922,9.146,0
D11,5019,9.146,1
D12,9475,9.146,0
E1,85443,9.146,1
E2,77306,9.146,0
E3,86239,9.146,1
E4,60326,9.146,0
E5,73142,9.146,1
E6,56738,9.146,0
E7,73948,9.146,1
E8,53110,9.146,0
E9,70720,9.146,1
E10,56656,9.146,0
E11,71523,9.146,1
E12,76261,9.146,0
F1,9852,9.146,1
F2,6024,9.146,0
F3,11254,9.146,1
F4,6072,9.146,0
F5,10306,9.146,1
F6,6555,9.146,0
F7,11040,9.146,1
F8,5780,9.146,0
F9,11327,9.146,1
F10,6607,9.146,0
F11,12330,9.146,1
F12,13547,9.146,0
G1,12731,9.146,1
G2,17535,9.146,0
G3,8953,9.146,1
G4,13560,9.146,0
G5,13988,9.146,1
G6,6221,9.146,0
G7,10028,9.146,1
G8,13427,9.146,0
G9,9997,9.146,1
G10,14637,9.146,0
G11,10841,9.146,1
G12,12603,9.146,0
H1,1488,9.146,1
H2,3841,9.146,0
H3,1686,9.146,1
H4,3601,9.146,0
H5,1590,9.146,1
H6,3326,9.146,0
H7,1564,9.146,1
H8,3571,9.146,0
H9,1559,9.146,1
H10,4194,9.146,0
H11,1497,9.146,1
H12,22781,9.146,0
