,0
A1,7566.0
A2,2221.0
A3,8053.0
A4,2626.0
A5,8193.0
A6,2745.0
A7,8141.0
A8,2714.0
A9,8164.0
A10,2750.0
A11,7746.0
A12,1625.0
B1,11783.0
B2,3516.0
B3,13700.0
B4,3060.0
B5,10729.0
B6,2708.0
B7,10109.0
B8,2806.0
B9,10148.0
B10,2508.0
B11,9655.0
B12,1656.0
C1,9041.0
C2,2547.0
C3,11292.0
C4,3157.0
C5,9565.0
C6,2554.0
C7,8889.0
C8,4310.0
C9,9461.0
C10,3137.0
C11,9384.0
C12,2078.0
D1,11649.0
D2,2520.0
D3,12468.0
D4,2801.0
D5,12019.0
D6,2765.0
D7,10923.0
D8,2681.0
D9,12009.0
D10,2760.0
D11,13344.0
D12,2185.0
E1,6747.0
E2,2512.0
E3,7037.0
E4,2632.0
E5,7061.0
E6,2833.0
E7,7014.0
E8,2644.0
E9,6872.0
E10,2698.0
E11,6543.0
E12,2125.0
F1,11164.0
F2,2299.0
F3,11600.0
F4,2635.0
F5,11777.0
F6,2640.0
F7,11583.0
F8,2445.0
F9,11867.0
F10,2653.0
F11,11383.0
F12,1987.0
G1,11291.0
G2,1978.0
G3,11963.0
G4,2180.0
G5,11435.0
G6,2272.0
G7,11928.0
G8,2264.0
G9,12123.0
G10,2205.0
G11,11854.0
G12,17063.0
H1,7010.0
H2,2147.0
H3,7075.0
H4,2342.0
H5,7051.0
H6,2562.0
H7,6902.0
H8,2443.0
H9,6765.0
H10,2176.0
H11,6561.0
H12,1738.0
