,0
A1,338.0
A2,186.0
A3,331.0
A4,195.0
A5,316.0
A6,205.0
A7,468.0
A8,253.0
A9,305.0
A10,197.0
A11,362.0
A12,1158.0
B1,225.0
B2,254.0
B3,240.0
B4,175.0
B5,248.0
B6,160.0
B7,275.0
B8,156.0
B9,240.0
B10,168.0
B11,253.0
B12,1164.0
C1,922.0
C2,313.0
C3,972.0
C4,327.0
C5,1021.0
C6,352.0
C7,1043.0
C8,425.0
C9,1096.0
C10,1358.0
C11,1055.0
C12,1429.0
D1,328.0
D2,168.0
D3,360.0
D4,193.0
D5,381.0
D6,195.0
D7,396.0
D8,180.0
D9,364.0
D10,176.0
D11,360.0
D12,10356.0
E1,1678.0
E2,1017.0
E3,1835.0
E4,836.0
E5,1791.0
E6,828.0
E7,1839.0
E8,839.0
E9,1760.0
E10,852.0
E11,1810.0
E12,31613.0
F1,607.0
F2,161.0
F3,345.0
F4,168.0
F5,440.0
F6,178.0
F7,342.0
F8,166.0
F9,350.0
F10,221.0
F11,377.0
F12,6879.0
G1,177.0
G2,137.0
G3,168.0
G4,141.0
G5,181.0
G6,155.0
G7,176.0
G8,143.0
G9,191.0
G10,180.0
G11,240.0
G12,2954.0
H1,271.0
H2,231.0
H3,268.0
H4,260.0
H5,471.0
H6,250.0
H7,361.0
H8,232.0
H9,244.0
H10,773.0
H11,261.0
H12,17506.0
