,fluorescence,Ligand (uM),p38 (uM)
A1,334,0.038,1
A2,209,0.038,0
A3,298,0.038,1
A4,224,0.038,0
A5,312,0.038,1
A6,223,0.038,0
A7,349,0.038,1
A8,317,0.038,0
A9,304,0.038,1
A10,209,0.038,0
A11,346,0.038,1
A12,1705,0.038,0
B1,271,0.038,1
B2,276,0.038,0
B3,281,0.038,1
B4,221,0.038,0
B5,292,0.038,1
B6,202,0.038,0
B7,317,0.038,1
B8,205,0.038,0
B9,289,0.038,1
B10,215,0.038,0
B11,310,0.038,1
B12,1902,0.038,0
C1,335,0.038,1
C2,203,0.038,0
C3,349,0.038,1
C4,240,0.038,0
C5,356,0.038,1
C6,217,0.038,0
C7,332,0.038,1
C8,250,0.038,0
C9,376,0.038,1
C10,288,0.038,0
C11,364,0.038,1
C12,726,0.038,0
D1,298,0.038,1
D2,202,0.038,0
D3,315,0.038,1
D4,205,0.038,0
D5,299,0.038,1
D6,209,0.038,0
D7,301,0.038,1
D8,191,0.038,0
D9,294,0.038,1
D10,201,0.038,0
D11,300,0.038,1
D12,1290,0.038,0
E1,1172,0.038,1
E2,398,0.038,0
E3,1838,0.038,1
E4,474,0.038,0
E5,1898,0.038,1
E6,511,0.038,0
E7,1888,0.038,1
E8,552,0.038,0
E9,1588,0.038,1
E10,392,0.038,0
E11,1655,0.038,1
E12,41110,0.038,0
F1,302,0.038,1
F2,202,0.038,0
F3,356,0.038,1
F4,207,0.038,0
F5,334,0.038,1
F6,215,0.038,0
F7,368,0.038,1
F8,278,0.038,0
F9,408,0.038,1
F10,353,0.038,0
F11,372,0.038,1
F12,2019,0.038,0
G1,298,0.038,1
G2,211,0.038,0
G3,293,0.038,1
G4,210,0.038,0
G5,316,0.038,1
G6,216,0.038,0
G7,301,0.038,1
G8,219,0.038,0
G9,319,0.038,1
G10,222,0.038,0
G11,347,0.038,1
G12,5587,0.038,0
H1,370,0.038,1
H2,239,0.038,0
H3,339,0.038,1
H4,348,0.038,0
H5,485,0.038,1
H6,266,0.038,0
H7,341,0.038,1
H8,247,0.038,0
H9,318,0.038,1
H10,719,0.038,0
H11,342,0.038,1
H12,4512,0.038,0
