,fluorescence,Ligand (uM),p38 (uM)
A1,289,0.008,1
A2,207,0.008,0
A3,279,0.008,1
A4,218,0.008,0
A5,280,0.008,1
A6,211,0.008,0
A7,441,0.008,1
A8,309,0.008,0
A9,281,0.008,1
A10,204,0.008,0
A11,368,0.008,1
A12,966,0.008,0
B1,256,0.008,1
B2,236,0.008,0
B3,265,0.008,1
B4,222,0.008,0
B5,280,0.008,1
B6,202,0.008,0
B7,295,0.008,1
B8,198,0.008,0
B9,272,0.008,1
B10,215,0.008,0
B11,338,0.008,1
B12,989,0.008,0
C1,275,0.008,1
C2,191,0.008,0
C3,275,0.008,1
C4,196,0.008,0
C5,313,0.008,1
C6,210,0.008,0
C7,286,0.008,1
C8,242,0.008,0
C9,312,0.008,1
C10,306,0.008,0
C11,308,0.008,1
C12,451,0.008,0
D1,307,0.008,1
D2,240,0.008,0
D3,328,0.008,1
D4,245,0.008,0
D5,339,0.008,1
D6,244,0.008,0
D7,378,0.008,1
D8,246,0.008,0
D9,379,0.008,1
D10,294,0.008,0
D11,362,0.008,1
D12,349,0.008,0
E1,495,0.008,1
E2,269,0.008,0
E3,585,0.008,1
E4,279,0.008,0
E5,552,0.008,1
E6,257,0.008,0
E7,506,0.008,1
E8,287,0.008,0
E9,499,0.008,1
E10,236,0.008,0
E11,557,0.008,1
E12,10013,0.008,0
F1,276,0.008,1
F2,198,0.008,0
F3,288,0.008,1
F4,208,0.008,0
F5,304,0.008,1
F6,202,0.008,0
F7,298,0.008,1
F8,210,0.008,0
F9,290,0.008,1
F10,262,0.008,0
F11,307,0.008,1
F12,864,0.008,0
G1,269,0.008,1
G2,199,0.008,0
G3,310,0.008,1
G4,228,0.008,0
G5,329,0.008,1
G6,263,0.008,0
G7,329,0.008,1
G8,221,0.008,0
G9,307,0.008,1
G10,203,0.008,0
G11,291,0.008,1
G12,373,0.008,0
H1,280,0.008,1
H2,221,0.008,0
H3,349,0.008,1
H4,281,0.008,0
H5,318,0.008,1
H6,239,0.008,0
H7,373,0.008,1
H8,261,0.008,0
H9,306,0.008,1
H10,448,0.008,0
H11,317,0.008,1
H12,579,0.008,0
