,0
A1,288.0
A2,181.0
A3,234.0
A4,189.0
A5,240.0
A6,191.0
A7,398.0
A8,249.0
A9,229.0
A10,199.0
A11,279.0
A12,1124.0
B1,183.0
B2,201.0
B3,183.0
B4,167.0
B5,201.0
B6,157.0
B7,236.0
B8,153.0
B9,196.0
B10,176.0
B11,212.0
B12,1200.0
C1,489.0
C2,230.0
C3,521.0
C4,238.0
C5,553.0
C6,249.0
C7,542.0
C8,328.0
C9,584.0
C10,1890.0
C11,564.0
C12,1338.0
D1,235.0
D2,160.0
D3,248.0
D4,175.0
D5,261.0
D6,178.0
D7,278.0
D8,164.0
D9,252.0
D10,158.0
D11,246.0
D12,6794.0
E1,808.0
E2,490.0
E3,953.0
E4,416.0
E5,891.0
E6,421.0
E7,913.0
E8,483.0
E9,880.0
E10,412.0
E11,1006.0
E12,27476.0
F1,279.0
F2,150.0
F3,231.0
F4,147.0
F5,529.0
F6,159.0
F7,234.0
F8,156.0
F9,229.0
F10,206.0
F11,292.0
F12,5311.0
G1,165.0
G2,144.0
G3,155.0
G4,143.0
G5,165.0
G6,152.0
G7,167.0
G8,149.0
G9,176.0
G10,169.0
G11,224.0
G12,2393.0
H1,240.0
H2,191.0
H3,223.0
H4,237.0
H5,294.0
H6,208.0
H7,318.0
H8,195.0
H9,236.0
H10,752.0
H11,229.0
H12,12339.0
