,fluorescence,Ligand (uM),p38 (uM)
A1,867,0.4,1
A2,266,0.4,0
A3,904,0.4,1
A4,271,0.4,0
A5,923,0.4,1
A6,273,0.4,0
A7,1025,0.4,1
A8,359,0.4,0
A9,936,0.4,1
A10,253,0.4,0
A11,1000,0.4,1
A12,2250,0.4,0
B1,571,0.4,1
B2,305,0.4,0
B3,619,0.4,1
B4,260,0.4,0
B5,630,0.4,1
B6,233,0.4,0
B7,644,0.4,1
B8,227,0.4,0
B9,627,0.4,1
B10,242,0.4,0
B11,644,0.4,1
B12,2392,0.4,0
C1,1609,0.4,1
C2,292,0.4,0
C3,1659,0.4,1
C4,292,0.4,0
C5,1640,0.4,1
C6,306,0.4,0
C7,1726,0.4,1
C8,329,0.4,0
C9,1813,0.4,1
C10,554,0.4,0
C11,1810,0.4,1
C12,934,0.4,0
D1,617,0.4,1
D2,221,0.4,0
D3,568,0.4,1
D4,236,0.4,0
D5,588,0.4,1
D6,223,0.4,0
D7,590,0.4,1
D8,212,0.4,0
D9,590,0.4,1
D10,220,0.4,0
D11,592,0.4,1
D12,4583,0.4,0
E1,16085,0.4,1
E2,2742,0.4,0
E3,21285,0.4,1
E4,2624,0.4,0
E5,20190,0.4,1
E6,2146,0.4,0
E7,16430,0.4,1
E8,1880,0.4,0
E9,15585,0.4,1
E10,1829,0.4,0
E11,14605,0.4,1
E12,66168,0.4,0
F1,774,0.4,1
F2,250,0.4,0
F3,671,0.4,1
F4,271,0.4,0
F5,875,0.4,1
F6,326,0.4,0
F7,701,0.4,1
F8,246,0.4,0
F9,599,0.4,1
F10,291,0.4,0
F11,665,0.4,1
F12,7278,0.4,0
G1,555,0.4,1
G2,309,0.4,0
G3,769,0.4,1
G4,287,0.4,0
G5,627,0.4,1
G6,290,0.4,0
G7,669,0.4,1
G8,278,0.4,0
G9,679,0.4,1
G10,288,0.4,0
G11,716,0.4,1
G12,8463,0.4,0
H1,369,0.4,1
H2,278,0.4,0
H3,367,0.4,1
H4,364,0.4,0
H5,474,0.4,1
H6,283,0.4,0
H7,444,0.4,1
H8,298,0.4,0
H9,424,0.4,1
H10,721,0.4,0
H11,495,0.4,1
H12,18057,0.4,0
