,fluorescence,Ligand (uM),p38 (uM)
A1,382,0.084,1
A2,233,0.084,0
A3,335,0.084,1
A4,228,0.084,0
A5,354,0.084,1
A6,219,0.084,0
A7,464,0.084,1
A8,316,0.084,0
A9,346,0.084,1
A10,204,0.084,0
A11,391,0.084,1
A12,1974,0.084,0
B1,282,0.084,1
B2,248,0.084,0
B3,295,0.084,1
B4,222,0.084,0
B5,309,0.084,1
B6,203,0.084,0
B7,333,0.084,1
B8,197,0.084,0
B9,307,0.084,1
B10,214,0.084,0
B11,328,0.084,1
B12,2037,0.084,0
C1,441,0.084,1
C2,216,0.084,0
C3,467,0.084,1
C4,242,0.084,0
C5,480,0.084,1
C6,221,0.084,0
C7,480,0.084,1
C8,258,0.084,0
C9,522,0.084,1
C10,298,0.084,0
C11,524,0.084,1
C12,808,0.084,0
D1,352,0.084,1
D2,224,0.084,0
D3,391,0.084,1
D4,251,0.084,0
D5,429,0.084,1
D6,305,0.084,0
D7,499,0.084,1
D8,286,0.084,0
D9,431,0.084,1
D10,233,0.084,0
D11,338,0.084,1
D12,1743,0.084,0
E1,2486,0.084,1
E2,559,0.084,0
E3,3239,0.084,1
E4,526,0.084,0
E5,3460,0.084,1
E6,554,0.084,0
E7,3125,0.084,1
E8,574,0.084,0
E9,2986,0.084,1
E10,497,0.084,0
E11,3253,0.084,1
E12,56844,0.084,0
F1,362,0.084,1
F2,218,0.084,0
F3,353,0.084,1
F4,226,0.084,0
F5,404,0.084,1
F6,233,0.084,0
F7,411,0.084,1
F8,270,0.084,0
F9,436,0.084,1
F10,475,0.084,0
F11,433,0.084,1
F12,4003,0.084,0
G1,335,0.084,1
G2,232,0.084,0
G3,365,0.084,1
G4,237,0.084,0
G5,355,0.084,1
G6,222,0.084,0
G7,333,0.084,1
G8,236,0.084,0
G9,348,0.084,1
G10,231,0.084,0
G11,382,0.084,1
G12,5236,0.084,0
H1,383,0.084,1
H2,260,0.084,0
H3,347,0.084,1
H4,356,0.084,0
H5,480,0.084,1
H6,254,0.084,0
H7,407,0.084,1
H8,268,0.084,0
H9,383,0.084,1
H10,777,0.084,0
H11,364,0.084,1
H12,7231,0.084,0
