,fluorescence,Ligand (uM),p38 (uM)
A1,274,0,1
A2,193,0,0
A3,286,0,1
A4,224,0,0
A5,359,0,1
A6,288,0,0
A7,554,0,1
A8,470,0,0
A9,421,0,1
A10,282,0,0
A11,415,0,1
A12,635,0,0
B1,325,0,1
B2,254,0,0
B3,323,0,1
B4,277,0,0
B5,387,0,1
B6,223,0,0
B7,340,0,1
B8,233,0,0
B9,355,0,1
B10,263,0,0
B11,486,0,1
B12,273,0,0
C1,335,0,1
C2,243,0,0
C3,370,0,1
C4,220,0,0
C5,327,0,1
C6,241,0,0
C7,288,0,1
C8,216,0,0
C9,307,0,1
C10,283,0,0
C11,318,0,1
C12,212,0,0
D1,268,0,1
D2,192,0,0
D3,291,0,1
D4,201,0,0
D5,287,0,1
D6,215,0,0
D7,292,0,1
D8,192,0,0
D9,281,0,1
D10,199,0,0
D11,309,0,1
D12,258,0,0
E1,268,0,1
E2,189,0,0
E3,274,0,1
E4,198,0,0
E5,277,0,1
E6,204,0,0
E7,275,0,1
E8,244,0,0
E9,273,0,1
E10,199,0,0
E11,275,0,1
E12,188,0,0
F1,261,0,1
F2,190,0,0
F3,397,0,1
F4,193,0,0
F5,282,0,1
F6,205,0,0
F7,274,0,1
F8,207,0,0
F9,282,0,1
F10,217,0,0
F11,274,0,1
F12,182,0,0
G1,268,0,1
G2,188,0,0
G3,278,0,1
G4,196,0,0
G5,284,0,1
G6,207,0,0
G7,274,0,1
G8,198,0,0
G9,282,0,1
G10,187,0,0
G11,266,0,1
G12,181,0,0
H1,273,0,1
H2,194,0,0
H3,298,0,1
H4,251,0,0
H5,295,0,1
H6,193,0,0
H7,279,0,1
H8,201,0,0
H9,280,0,1
H10,196,0,0
H11,276,0,1
H12,190,0,0
