,0
A1,13515.0
A2,6479.0
A3,14367.0
A4,7593.0
A5,14518.0
A6,7761.0
A7,14562.0
A8,7867.0
A9,14387.0
A10,7375.0
A11,13857.0
A12,5905.0
B1,14814.0
B2,6704.0
B3,15007.0
B4,7054.0
B5,15283.0
B6,7307.0
B7,15310.0
B8,7779.0
B9,15421.0
B10,7128.0
B11,15508.0
B12,6145.0
C1,13157.0
C2,5908.0
C3,14029.0
C4,6917.0
C5,13677.0
C6,6625.0
C7,13233.0
C8,6753.0
C9,13475.0
C10,6577.0
C11,13683.0
C12,5909.0
D1,14696.0
D2,6082.0
D3,15166.0
D4,6447.0
D5,14730.0
D6,6564.0
D7,13728.0
D8,5826.0
D9,14484.0
D10,6191.0
D11,14783.0
D12,5851.0
E1,10420.0
E2,5888.0
E3,10865.0
E4,6661.0
E5,11401.0
E6,7658.0
E7,11070.0
E8,6392.0
E9,10514.0
E10,6523.0
E11,10589.0
E12,5892.0
F1,14087.0
F2,5704.0
F3,14687.0
F4,6344.0
F5,14387.0
F6,6379.0
F7,14281.0
F8,6077.0
F9,14418.0
F10,6121.0
F11,14377.0
F12,5655.0
G1,14516.0
G2,5966.0
G3,15250.0
G4,6401.0
G5,15068.0
G6,6426.0
G7,14986.0
G8,6529.0
G9,14983.0
G10,6254.0
G11,14957.0
G12,11570.0
H1,13380.0
H2,5706.0
H3,13355.0
H4,6456.0
H5,13345.0
H6,6253.0
H7,12820.0
H8,6289.0
H9,12816.0
H10,6076.0
H11,12907.0
H12,5879.0
