,0
A1,2036.0
A2,1480.0
A3,2060.0
A4,1637.0
A5,2109.0
A6,1568.0
A7,2219.0
A8,1894.0
A9,2003.0
A10,1458.0
A11,2141.0
A12,2360.0
B1,1831.0
B2,1453.0
B3,2001.0
B4,1563.0
B5,2094.0
B6,1437.0
B7,2042.0
B8,1436.0
B9,2010.0
B10,1424.0
B11,2049.0
B12,2282.0
C1,5992.0
C2,1968.0
C3,6286.0
C4,1990.0
C5,6387.0
C6,2141.0
C7,6383.0
C8,2347.0
C9,6858.0
C10,2999.0
C11,6690.0
C12,2678.0
D1,3386.0
D2,1849.0
D3,3822.0
D4,2780.0
D5,4043.0
D6,2475.0
D7,4450.0
D8,2388.0
D9,4035.0
D10,2029.0
D11,3611.0
D12,17749.0
E1,17844.0
E2,12411.0
E3,19938.0
E4,11983.0
E5,17689.0
E6,12027.0
E7,18427.0
E8,11138.0
E9,19276.0
E10,11455.0
E11,18717.0
E12,67970.0
F1,5830.0
F2,1363.0
F3,4744.0
F4,1428.0
F5,4306.0
F6,1504.0
F7,5074.0
F8,1502.0
F9,4114.0
F10,1708.0
F11,5152.0
F12,18213.0
G1,1018.0
G2,836.0
G3,1094.0
G4,905.0
G5,1217.0
G6,932.0
G7,1114.0
G8,890.0
G9,1160.0
G10,877.0
G11,1175.0
G12,5413.0
H1,1926.0
H2,2586.0
H3,2296.0
H4,2956.0
H5,2136.0
H6,2633.0
H7,2263.0
H8,3005.0
H9,2258.0
H10,3263.0
H11,2203.0
H12,25777.0
