,fluorescence,Ligand (uM),p38 (uM)
A1,3683,4.183,1
A2,1295,4.183,0
A3,3799,4.183,1
A4,1339,4.183,0
A5,3760,4.183,1
A6,1539,4.183,0
A7,5041,4.183,1
A8,1892,4.183,0
A9,4850,4.183,1
A10,1692,4.183,0
A11,4633,4.183,1
A12,3483,4.183,0
B1,3881,4.183,1
B2,1650,4.183,0
B3,4222,4.183,1
B4,1582,4.183,0
B5,4182,4.183,1
B6,1685,4.183,0
B7,4203,4.183,1
B8,1746,4.183,0
B9,4269,4.183,1
B10,1544,4.183,0
B11,4340,4.183,1
B12,3093,4.183,0
C1,7594,4.183,1
C2,726,4.183,0
C3,7803,4.183,1
C4,678,4.183,0
C5,7340,4.183,1
C6,776,4.183,0
C7,7723,4.183,1
C8,782,4.183,0
C9,7834,4.183,1
C10,939,4.183,0
C11,7895,4.183,1
C12,1157,4.183,0
D1,3188,4.183,1
D2,608,4.183,0
D3,3298,4.183,1
D4,871,4.183,0
D5,3206,4.183,1
D6,738,4.183,0
D7,3399,4.183,1
D8,712,4.183,0
D9,3275,4.183,1
D10,646,4.183,0
D11,3287,4.183,1
D12,9089,4.183,0
E1,55222,4.183,1
E2,26141,4.183,0
E3,54376,4.183,1
E4,24344,4.183,0
E5,52744,4.183,1
E6,23315,4.183,0
E7,53041,4.183,1
E8,23031,4.183,0
E9,54900,4.183,1
E10,24344,4.183,0
E11,57115,4.183,1
E12,69223,4.183,0
F1,4562,4.183,1
F2,803,4.183,0
F3,3522,4.183,1
F4,801,4.183,0
F5,3139,4.183,1
F6,812,4.183,0
F7,3875,4.183,1
F8,932,4.183,0
F9,3230,4.183,1
F10,923,4.183,0
F11,3595,4.183,1
F12,11777,4.183,0
G1,2389,4.183,1
G2,601,4.183,0
G3,2512,4.183,1
G4,546,4.183,0
G5,2404,4.183,1
G6,658,4.183,0
G7,2368,4.183,1
G8,547,4.183,0
G9,2262,4.183,1
G10,556,4.183,0
G11,2350,4.183,1
G12,11461,4.183,0
H1,851,4.183,1
H2,1393,4.183,0
H3,922,4.183,1
H4,1650,4.183,0
H5,919,4.183,1
H6,1368,4.183,0
H7,906,4.183,1
H8,1538,4.183,0
H9,902,4.183,1
H10,1752,4.183,0
H11,984,4.183,1
H12,20720,4.183,0
