,0
A1,15245.0
A2,6491.0
A3,16188.0
A4,7630.0
A5,16516.0
A6,7853.0
A7,16445.0
A8,8032.0
A9,16328.0
A10,7472.0
A11,15844.0
A12,6222.0
B1,15674.0
B2,6698.0
B3,16051.0
B4,7006.0
B5,16277.0
B6,7249.0
B7,16383.0
B8,7750.0
B9,16415.0
B10,7109.0
B11,16439.0
B12,6426.0
C1,15012.0
C2,5946.0
C3,15560.0
C4,6951.0
C5,15191.0
C6,6640.0
C7,14876.0
C8,6838.0
C9,15264.0
C10,6562.0
C11,15270.0
C12,6063.0
D1,15452.0
D2,6082.0
D3,15972.0
D4,6510.0
D5,15639.0
D6,6634.0
D7,14493.0
D8,5881.0
D9,15333.0
D10,6322.0
D11,15497.0
D12,5891.0
E1,14133.0
E2,5889.0
E3,14619.0
E4,6615.0
E5,14922.0
E6,7700.0
E7,14624.0
E8,6483.0
E9,14161.0
E10,6572.0
E11,14167.0
E12,6076.0
F1,14907.0
F2,5722.0
F3,15228.0
F4,6348.0
F5,15161.0
F6,6479.0
F7,15019.0
F8,5974.0
F9,15330.0
F10,6007.0
F11,14989.0
F12,5733.0
G1,14958.0
G2,5931.0
G3,15857.0
G4,6460.0
G5,15520.0
G6,6462.0
G7,15345.0
G8,6497.0
G9,15235.0
G10,6235.0
G11,15200.0
G12,9587.0
H1,15126.0
H2,5798.0
H3,15444.0
H4,6556.0
H5,15283.0
H6,6241.0
H7,14734.0
H8,6305.0
H9,14842.0
H10,6123.0
H11,14806.0
H12,6028.0
