,0
A1,164.0
A2,89.0
A3,181.0
A4,102.0
A5,189.0
A6,96.0
A7,407.0
A8,119.0
A9,176.0
A10,89.0
A11,169.0
A12,553.0
B1,166.0
B2,100.0
B3,176.0
B4,104.0
B5,182.0
B6,95.0
B7,223.0
B8,88.0
B9,180.0
B10,89.0
B11,203.0
B12,88.0
C1,167.0
C2,88.0
C3,251.0
C4,105.0
C5,184.0
C6,112.0
C7,168.0
C8,103.0
C9,176.0
C10,116.0
C11,174.0
C12,84.0
D1,177.0
D2,96.0
D3,185.0
D4,98.0
D5,190.0
D6,99.0
D7,182.0
D8,89.0
D9,175.0
D10,86.0
D11,177.0
D12,88.0
E1,173.0
E2,96.0
E3,180.0
E4,95.0
E5,185.0
E6,98.0
E7,190.0
E8,208.0
E9,185.0
E10,101.0
E11,183.0
E12,88.0
F1,173.0
F2,95.0
F3,181.0
F4,91.0
F5,182.0
F6,96.0
F7,181.0
F8,96.0
F9,184.0
F10,106.0
F11,178.0
F12,86.0
G1,174.0
G2,94.0
G3,186.0
G4,95.0
G5,185.0
G6,100.0
G7,179.0
G8,93.0
G9,185.0
G10,91.0
G11,183.0
G12,90.0
H1,185.0
H2,93.0
H3,199.0
H4,105.0
H5,197.0
H6,101.0
H7,192.0
H8,101.0
H9,181.0
H10,95.0
H11,184.0
H12,89.0
