,0
A1,11954.0
A2,6291.0
A3,12767.0
A4,7370.0
A5,12906.0
A6,7586.0
A7,12995.0
A8,7744.0
A9,12827.0
A10,7364.0
A11,12443.0
A12,5679.0
B1,13868.0
B2,6643.0
B3,14030.0
B4,7018.0
B5,14163.0
B6,7183.0
B7,14269.0
B8,7674.0
B9,14311.0
B10,6993.0
B11,14304.0
B12,5878.0
C1,11920.0
C2,5811.0
C3,12730.0
C4,6838.0
C5,12194.0
C6,6496.0
C7,11993.0
C8,6638.0
C9,12174.0
C10,6516.0
C11,12247.0
C12,5701.0
D1,13853.0
D2,5911.0
D3,14297.0
D4,6355.0
D5,14073.0
D6,6453.0
D7,12968.0
D8,5767.0
D9,13631.0
D10,6078.0
D11,13952.0
D12,5717.0
E1,9718.0
E2,5769.0
E3,10267.0
E4,6486.0
E5,10668.0
E6,7508.0
E7,10433.0
E8,6243.0
E9,9825.0
E10,6325.0
E11,9872.0
E12,5816.0
F1,13425.0
F2,5533.0
F3,13902.0
F4,6237.0
F5,13681.0
F6,6318.0
F7,13844.0
F8,5923.0
F9,14001.0
F10,5953.0
F11,13699.0
F12,5525.0
G1,14296.0
G2,5794.0
G3,14897.0
G4,6250.0
G5,14784.0
G6,6296.0
G7,14908.0
G8,6380.0
G9,14991.0
G10,6089.0
G11,14963.0
G12,12534.0
H1,11573.0
H2,5632.0
H3,11594.0
H4,6352.0
H5,11670.0
H6,6079.0
H7,11250.0
H8,6158.0
H9,11144.0
H10,5915.0
H11,11063.0
H12,5691.0
