,fluorescence,Ligand (uM),p38 (uM)
A1,542,0.183,1
A2,244,0.183,0
A3,490,0.183,1
A4,234,0.183,0
A5,513,0.183,1
A6,229,0.183,0
A7,598,0.183,1
A8,333,0.183,0
A9,510,0.183,1
A10,222,0.183,0
A11,561,0.183,1
A12,2176,0.183,0
B1,366,0.183,1
B2,260,0.183,0
B3,391,0.183,1
B4,236,0.183,0
B5,403,0.183,1
B6,211,0.183,0
B7,419,0.183,1
B8,213,0.183,0
B9,431,0.183,1
B10,238,0.183,0
B11,414,0.183,1
B12,2374,0.183,0
C1,822,0.183,1
C2,273,0.183,0
C3,847,0.183,1
C4,237,0.183,0
C5,865,0.183,1
C6,249,0.183,0
C7,875,0.183,1
C8,291,0.183,0
C9,930,0.183,1
C10,565,0.183,0
C11,937,0.183,1
C12,882,0.183,0
D1,384,0.183,1
D2,212,0.183,0
D3,430,0.183,1
D4,210,0.183,0
D5,420,0.183,1
D6,217,0.183,0
D7,422,0.183,1
D8,211,0.183,0
D9,412,0.183,1
D10,210,0.183,0
D11,409,0.183,1
D12,2919,0.183,0
E1,6226,0.183,1
E2,1070,0.183,0
E3,6760,0.183,1
E4,995,0.183,0
E5,8707,0.183,1
E6,1369,0.183,0
E7,9870,0.183,1
E8,1411,0.183,0
E9,10065,0.183,1
E10,1307,0.183,0
E11,8544,0.183,1
E12,76160,0.183,0
F1,413,0.183,1
F2,216,0.183,0
F3,415,0.183,1
F4,230,0.183,0
F5,704,0.183,1
F6,287,0.183,0
F7,508,0.183,1
F8,286,0.183,0
F9,488,0.183,1
F10,320,0.183,0
F11,569,0.183,1
F12,6454,0.183,0
G1,376,0.183,1
G2,241,0.183,0
G3,446,0.183,1
G4,285,0.183,0
G5,575,0.183,1
G6,266,0.183,0
G7,464,0.183,1
G8,264,0.183,0
G9,447,0.183,1
G10,277,0.183,0
G11,525,0.183,1
G12,7456,0.183,0
H1,368,0.183,1
H2,269,0.183,0
H3,343,0.183,1
H4,335,0.183,0
H5,420,0.183,1
H6,266,0.183,0
H7,435,0.183,1
H8,257,0.183,0
H9,357,0.183,1
H10,645,0.183,0
H11,369,0.183,1
H12,10387,0.183,0
