,0
A1,4733.0
A2,3423.0
A3,5116.0
A4,3472.0
A5,5039.0
A6,3300.0
A7,4723.0
A8,2359.0
A9,4440.0
A10,2528.0
A11,4096.0
A12,3835.0
B1,8011.0
B2,3648.0
B3,9156.0
B4,3371.0
B5,8119.0
B6,3451.0
B7,7150.0
B8,3179.0
B9,6396.0
B10,2532.0
B11,5583.0
B12,3237.0
C1,7883.0
C2,1416.0
C3,8630.0
C4,1450.0
C5,8491.0
C6,1522.0
C7,8962.0
C8,1266.0
C9,8788.0
C10,3127.0
C11,8497.0
C12,1280.0
D1,19350.0
D2,11386.0
D3,19315.0
D4,12585.0
D5,18859.0
D6,12524.0
D7,14116.0
D8,5602.0
D9,5975.0
D10,4343.0
D11,6403.0
D12,13284.0
E1,70587.0
E2,66228.0
E3,68260.0
E4,65767.0
E5,66210.0
E6,65685.0
E7,67715.0
E8,56482.0
E9,65878.0
E10,57400.0
E11,67311.0
E12,67277.0
F1,23423.0
F2,19689.0
F3,25757.0
F4,20508.0
F5,26303.0
F6,20397.0
F7,8933.0
F8,3989.0
F9,6698.0
F10,3570.0
F11,8002.0
F12,8710.0
G1,65362.0
G2,22987.0
G3,68331.0
G4,22508.0
G5,56016.0
G6,19891.0
G7,22625.0
G8,9226.0
G9,7234.0
G10,9130.0
G11,7925.0
G12,11499.0
H1,2213.0
H2,5604.0
H3,2270.0
H4,5485.0
H5,4938.0
H6,5001.0
H7,1566.0
H8,3908.0
H9,1116.0
H10,4279.0
H11,1170.0
H12,18591.0
