,0
A1,1029.0
A2,1005.0
A3,1038.0
A4,1145.0
A5,1138.0
A6,1074.0
A7,1385.0
A8,1477.0
A9,1045.0
A10,986.0
A11,1296.0
A12,1658.0
B1,885.0
B2,931.0
B3,926.0
B4,1116.0
B5,1030.0
B6,943.0
B7,1036.0
B8,965.0
B9,982.0
B10,985.0
B11,1068.0
B12,1255.0
C1,769.0
C2,793.0
C3,899.0
C4,885.0
C5,967.0
C6,883.0
C7,838.0
C8,1014.0
C9,914.0
C10,1277.0
C11,1003.0
C12,1407.0
D1,798.0
D2,809.0
D3,894.0
D4,917.0
D5,897.0
D6,921.0
D7,1055.0
D8,858.0
D9,856.0
D10,826.0
D11,829.0
D12,1134.0
E1,801.0
E2,800.0
E3,915.0
E4,993.0
E5,968.0
E6,1058.0
E7,985.0
E8,1000.0
E9,902.0
E10,886.0
E11,937.0
E12,4341.0
F1,721.0
F2,730.0
F3,789.0
F4,800.0
F5,849.0
F6,818.0
F7,797.0
F8,825.0
F9,802.0
F10,928.0
F11,808.0
F12,1575.0
G1,728.0
G2,733.0
G3,793.0
G4,851.0
G5,886.0
G6,842.0
G7,812.0
G8,815.0
G9,859.0
G10,782.0
G11,799.0
G12,836.0
H1,802.0
H2,786.0
H3,957.0
H4,1067.0
H5,926.0
H6,818.0
H7,871.0
H8,836.0
H9,826.0
H10,1209.0
H11,856.0
H12,1601.0
