,fluorescence,wavelength (nm),Well
0,416294.0,340.0,A5
1,366046.0,345.0,A5
2,323903.0,350.0,A5
3,290608.0,355.0,A5
4,259929.0,360.0,A5
5,233599.0,365.0,A5
6,25184.0,370.0,A5
7,20171.0,375.0,A5
8,18152.0,380.0,A5
9,15526.0,385.0,A5
10,12911.0,390.0,A5
11,11200.0,395.0,A5
12,9892.0,400.0,A5
13,7946.0,405.0,A5
14,7292.0,410.0,A5
15,6541.0,415.0,A5
16,5756.0,420.0,A5
17,5047.0,425.0,A5
18,4458.0,430.0,A5
19,3971.0,435.0,A5
20,3485.0,440.0,A5
21,3064.0,445.0,A5
22,2663.0,450.0,A5
23,2317.0,455.0,A5
24,2041.0,460.0,A5
25,1847.0,465.0,A5
26,1693.0,470.0,A5
27,1568.0,475.0,A5
28,1468.0,480.0,A5
29,1336.0,485.0,A5
30,1238.0,490.0,A5
31,1149.0,495.0,A5
32,1065.0,500.0,A5
33,975.0,505.0,A5
34,894.0,510.0,A5
35,819.0,515.0,A5
36,767.0,520.0,A5
37,719.0,525.0,A5
38,671.0,530.0,A5
39,618.0,535.0,A5
40,579.0,540.0,A5
41,537.0,545.0,A5
42,499.0,550.0,A5
43,463.0,555.0,A5
44,432.0,560.0,A5
45,402.0,565.0,A5
46,373.0,570.0,A5
47,349.0,575.0,A5
48,324.0,580.0,A5
49,300.0,585.0,A5
50,278.0,590.0,A5
51,257.0,595.0,A5
52,247.0,600.0,A5
53,415751.0,340.0,A6
54,362877.0,345.0,A6
55,323996.0,350.0,A6
56,288574.0,355.0,A6
57,259992.0,360.0,A6
58,232251.0,365.0,A6
59,25285.0,370.0,A6
60,20325.0,375.0,A6
61,18329.0,380.0,A6
62,15579.0,385.0,A6
63,12873.0,390.0,A6
64,10962.0,395.0,A6
65,9834.0,400.0,A6
66,7788.0,405.0,A6
67,7124.0,410.0,A6
68,6351.0,415.0,A6
69,5529.0,420.0,A6
70,4876.0,425.0,A6
71,4296.0,430.0,A6
72,3779.0,435.0,A6
73,3284.0,440.0,A6
74,2901.0,445.0,A6
75,2498.0,450.0,A6
76,2137.0,455.0,A6
77,1856.0,460.0,A6
78,1663.0,465.0,A6
79,1493.0,470.0,A6
80,1384.0,475.0,A6
81,1245.0,480.0,A6
82,1121.0,485.0,A6
83,1018.0,490.0,A6
84,920.0,495.0,A6
85,835.0,500.0,A6
86,756.0,505.0,A6
87,679.0,510.0,A6
88,619.0,515.0,A6
89,572.0,520.0,A6
90,524.0,525.0,A6
91,476.0,530.0,A6
92,437.0,535.0,A6
93,407.0,540.0,A6
94,373.0,545.0,A6
95,350.0,550.0,A6
96,316.0,555.0,A6
97,298.0,560.0,A6
98,277.0,565.0,A6
99,263.0,570.0,A6
100,242.0,575.0,A6
101,225.0,580.0,A6
102,215.0,585.0,A6
103,199.0,590.0,A6
104,185.0,595.0,A6
105,177.0,600.0,A6
106,415664.0,340.0,B6
107,362818.0,345.0,B6
108,322978.0,350.0,B6
109,287003.0,355.0,B6
110,258768.0,360.0,B6
111,231987.0,365.0,B6
112,23051.0,370.0,B6
113,18325.0,375.0,B6
114,16384.0,380.0,B6
115,14061.0,385.0,B6
116,11500.0,390.0,B6
117,9874.0,395.0,B6
118,8706.0,400.0,B6
119,6900.0,405.0,B6
120,6318.0,410.0,B6
121,5690.0,415.0,B6
122,4944.0,420.0,B6
123,4294.0,425.0,B6
124,3753.0,430.0,B6
125,3297.0,435.0,B6
126,2878.0,440.0,B6
127,2529.0,445.0,B6
128,2200.0,450.0,B6
129,1904.0,455.0,B6
130,1654.0,460.0,B6
131,1453.0,465.0,B6
132,1329.0,470.0,B6
133,1223.0,475.0,B6
134,1108.0,480.0,B6
135,999.0,485.0,B6
136,899.0,490.0,B6
137,805.0,495.0,B6
138,741.0,500.0,B6
139,658.0,505.0,B6
140,603.0,510.0,B6
141,539.0,515.0,B6
142,504.0,520.0,B6
143,462.0,525.0,B6
144,415.0,530.0,B6
145,394.0,535.0,B6
146,357.0,540.0,B6
147,331.0,545.0,B6
148,307.0,550.0,B6
149,288.0,555.0,B6
150,264.0,560.0,B6
151,249.0,565.0,B6
152,236.0,570.0,B6
153,218.0,575.0,B6
154,202.0,580.0,B6
155,189.0,585.0,B6
156,175.0,590.0,B6
157,165.0,595.0,B6
158,160.0,600.0,B6
159,414531.0,340.0,B5
160,364059.0,345.0,B5
161,320339.0,350.0,B5
162,288193.0,355.0,B5
163,260956.0,360.0,B5
164,232256.0,365.0,B5
165,23676.0,370.0,B5
