,fluorescence,wavelength (nm),Well
0,3241639.0,280.0,A5
1,2604791.0,285.0,A5
2,2084719.0,290.0,A5
3,1708496.0,295.0,A5
4,1393998.0,300.0,A5
5,815851.0,305.0,A5
6,192640.0,310.0,A5
7,175928.0,315.0,A5
8,160590.0,320.0,A5
9,138909.0,325.0,A5
10,122011.0,330.0,A5
11,109762.0,335.0,A5
12,84415.0,340.0,A5
13,71507.0,345.0,A5
14,58146.0,350.0,A5
15,52970.0,355.0,A5
16,40783.0,360.0,A5
17,34325.0,365.0,A5
18,24510.0,370.0,A5
19,16945.0,375.0,A5
20,11664.0,380.0,A5
21,8439.0,385.0,A5
22,6023.0,390.0,A5
23,4586.0,395.0,A5
24,3667.0,400.0,A5
25,2685.0,405.0,A5
26,2350.0,410.0,A5
27,2035.0,415.0,A5
28,1820.0,420.0,A5
29,1747.0,425.0,A5
30,1810.0,430.0,A5
31,1856.0,435.0,A5
32,2034.0,440.0,A5
33,2214.0,445.0,A5
34,2446.0,450.0,A5
35,2646.0,455.0,A5
36,2921.0,460.0,A5
37,3147.0,465.0,A5
38,3557.0,470.0,A5
39,3805.0,475.0,A5
40,4196.0,480.0,A5
41,4353.0,485.0,A5
42,4494.0,490.0,A5
43,4616.0,495.0,A5
44,4653.0,500.0,A5
45,4603.0,505.0,A5
46,4557.0,510.0,A5
47,4479.0,515.0,A5
48,4377.0,520.0,A5
49,4228.0,525.0,A5
50,4073.0,530.0,A5
51,3871.0,535.0,A5
52,3665.0,540.0,A5
53,3501.0,545.0,A5
54,3316.0,550.0,A5
55,3135.0,555.0,A5
56,2940.0,560.0,A5
57,2724.0,565.0,A5
58,2528.0,570.0,A5
59,2316.0,575.0,A5
60,2140.0,580.0,A5
61,1962.0,585.0,A5
62,1815.0,590.0,A5
63,1658.0,595.0,A5
64,1544.0,600.0,A5
65,3269868.0,280.0,A6
66,2622803.0,285.0,A6
67,2106210.0,290.0,A6
68,1733659.0,295.0,A6
69,1426091.0,300.0,A6
70,752426.0,305.0,A6
71,148090.0,310.0,A6
72,136698.0,315.0,A6
73,118977.0,320.0,A6
74,98483.0,325.0,A6
75,79534.0,330.0,A6
76,63543.0,335.0,A6
77,49201.0,340.0,A6
78,38405.0,345.0,A6
79,29715.0,350.0,A6
80,22816.0,355.0,A6
81,17906.0,360.0,A6
82,14147.0,365.0,A6
83,11192.0,370.0,A6
84,8690.0,375.0,A6
85,6538.0,380.0,A6
86,4761.0,385.0,A6
