,fluorescence,wavelength (nm),Well
0,417605.0,340.0,A5
1,360321.0,345.0,A5
2,322034.0,350.0,A5
3,290406.0,355.0,A5
4,261866.0,360.0,A5
5,233777.0,365.0,A5
6,26519.0,370.0,A5
7,21305.0,375.0,A5
8,19084.0,380.0,A5
9,16267.0,385.0,A5
10,13463.0,390.0,A5
11,11559.0,395.0,A5
12,10310.0,400.0,A5
13,8219.0,405.0,A5
14,7502.0,410.0,A5
15,6675.0,415.0,A5
16,5855.0,420.0,A5
17,5133.0,425.0,A5
18,4498.0,430.0,A5
19,3934.0,435.0,A5
20,3440.0,440.0,A5
21,3002.0,445.0,A5
22,2581.0,450.0,A5
23,2235.0,455.0,A5
24,1926.0,460.0,A5
25,1703.0,465.0,A5
26,1543.0,470.0,A5
27,1399.0,475.0,A5
28,1270.0,480.0,A5
29,1136.0,485.0,A5
30,1030.0,490.0,A5
31,923.0,495.0,A5
32,832.0,500.0,A5
33,745.0,505.0,A5
34,681.0,510.0,A5
35,612.0,515.0,A5
36,554.0,520.0,A5
37,520.0,525.0,A5
38,473.0,530.0,A5
39,438.0,535.0,A5
40,397.0,540.0,A5
41,366.0,545.0,A5
42,336.0,550.0,A5
43,310.0,555.0,A5
44,292.0,560.0,A5
45,272.0,565.0,A5
46,250.0,570.0,A5
47,228.0,575.0,A5
48,215.0,580.0,A5
49,203.0,585.0,A5
50,188.0,590.0,A5
51,179.0,595.0,A5
52,167.0,600.0,A5
53,417568.0,340.0,A6
54,366863.0,345.0,A6
55,322187.0,350.0,A6
56,286968.0,355.0,A6
57,259179.0,360.0,A6
58,232233.0,365.0,A6
59,25940.0,370.0,A6
60,21348.0,375.0,A6
61,18942.0,380.0,A6
62,16243.0,385.0,A6
63,13315.0,390.0,A6
64,11430.0,395.0,A6
65,10111.0,400.0,A6
66,8015.0,405.0,A6
67,7275.0,410.0,A6
68,6501.0,415.0,A6
69,5599.0,420.0,A6
70,4946.0,425.0,A6
71,4316.0,430.0,A6
72,3789.0,435.0,A6
73,3309.0,440.0,A6
74,2852.0,445.0,A6
75,2487.0,450.0,A6
76,2109.0,455.0,A6
77,1842.0,460.0,A6
78,1620.0,465.0,A6
79,1460.0,470.0,A6
80,1344.0,475.0,A6
81,1208.0,480.0,A6
82,1085.0,485.0,A6
83,974.0,490.0,A6
84,873.0,495.0,A6
85,791.0,500.0,A6
86,711.0,505.0,A6
87,637.0,510.0,A6
88,577.0,515.0,A6
89,526.0,520.0,A6
90,485.0,525.0,A6
91,439.0,530.0,A6
92,409.0,535.0,A6
93,374.0,540.0,A6
94,345.0,545.0,A6
95,313.0,550.0,A6
96,293.0,555.0,A6
97,272.0,560.0,A6
98,253.0,565.0,A6
99,237.0,570.0,A6
100,217.0,575.0,A6
101,204.0,580.0,A6
102,191.0,585.0,A6
103,181.0,590.0,A6
104,170.0,595.0,A6
105,158.0,600.0,A6
106,413276.0,340.0,B6
107,360701.0,345.0,B6
108,318940.0,350.0,B6
109,288446.0,355.0,B6
110,258733.0,360.0,B6
111,233560.0,365.0,B6
112,23508.0,370.0,B6
113,18801.0,375.0,B6
114,16809.0,380.0,B6
115,14258.0,385.0,B6
116,11765.0,390.0,B6
117,10064.0,395.0,B6
118,8897.0,400.0,B6
119,6987.0,405.0,B6
120,6353.0,410.0,B6
121,5680.0,415.0,B6
122,4912.0,420.0,B6
123,4331.0,425.0,B6
124,3774.0,430.0,B6
125,3296.0,435.0,B6
126,2882.0,440.0,B6
127,2542.0,445.0,B6
128,2186.0,450.0,B6
129,1865.0,455.0,B6
130,1632.0,460.0,B6
131,1441.0,465.0,B6
132,1306.0,470.0,B6
133,1193.0,475.0,B6
134,1071.0,480.0,B6
135,963.0,485.0,B6
136,878.0,490.0,B6
137,790.0,495.0,B6
138,720.0,500.0,B6
139,644.0,505.0,B6
140,569.0,510.0,B6
141,528.0,515.0,B6
142,474.0,520.0,B6
143,436.0,525.0,B6
144,404.0,530.0,B6
145,374.0,535.0,B6
146,337.0,540.0,B6
147,318.0,545.0,B6
148,288.0,550.0,B6
149,266.0,555.0,B6
150,250.0,560.0,B6
151,234.0,565.0,B6
152,219.0,570.0,B6
