,fluorescence,wavelength (nm),Well
0,412216.0,340.0,A5
1,363754.0,345.0,A5
2,321941.0,350.0,A5
3,294011.0,355.0,A5
4,262088.0,360.0,A5
5,234238.0,365.0,A5
6,26055.0,370.0,A5
7,20780.0,375.0,A5
8,18761.0,380.0,A5
9,16070.0,385.0,A5
10,13385.0,390.0,A5
11,11390.0,395.0,A5
12,10239.0,400.0,A5
13,8082.0,405.0,A5
14,7446.0,410.0,A5
15,6653.0,415.0,A5
16,5850.0,420.0,A5
17,5151.0,425.0,A5
18,4504.0,430.0,A5
19,3956.0,435.0,A5
20,3463.0,440.0,A5
21,3043.0,445.0,A5
22,2631.0,450.0,A5
23,2244.0,455.0,A5
24,1962.0,460.0,A5
25,1737.0,465.0,A5
26,1555.0,470.0,A5
27,1454.0,475.0,A5
28,1301.0,480.0,A5
29,1174.0,485.0,A5
30,1056.0,490.0,A5
31,960.0,495.0,A5
32,868.0,500.0,A5
33,784.0,505.0,A5
34,708.0,510.0,A5
35,642.0,515.0,A5
36,595.0,520.0,A5
37,541.0,525.0,A5
38,495.0,530.0,A5
39,459.0,535.0,A5
40,421.0,540.0,A5
41,395.0,545.0,A5
42,362.0,550.0,A5
43,329.0,555.0,A5
44,310.0,560.0,A5
45,286.0,565.0,A5
46,267.0,570.0,A5
47,251.0,575.0,A5
48,234.0,580.0,A5
49,218.0,585.0,A5
50,201.0,590.0,A5
51,192.0,595.0,A5
52,182.0,600.0,A5
53,419204.0,340.0,A6
54,363794.0,345.0,A6
55,325597.0,350.0,A6
56,289741.0,355.0,A6
57,257762.0,360.0,A6
58,235500.0,365.0,A6
59,25949.0,370.0,A6
60,20970.0,375.0,A6
61,18864.0,380.0,A6
62,15986.0,385.0,A6
63,13144.0,390.0,A6
64,11297.0,395.0,A6
65,10099.0,400.0,A6
66,7941.0,405.0,A6
67,7252.0,410.0,A6
68,6521.0,415.0,A6
69,5687.0,420.0,A6
70,4952.0,425.0,A6
71,4343.0,430.0,A6
72,3817.0,435.0,A6
73,3344.0,440.0,A6
74,2928.0,445.0,A6
75,2536.0,450.0,A6
