,fluorescence,wavelength (nm),Well
0,409167.0,340.0,A5
1,359260.0,345.0,A5
2,319066.0,350.0,A5
3,287692.0,355.0,A5
4,257837.0,360.0,A5
5,230348.0,365.0,A5
6,23970.0,370.0,A5
7,19395.0,375.0,A5
8,17650.0,380.0,A5
9,15058.0,385.0,A5
10,12532.0,390.0,A5
11,10924.0,395.0,A5
12,9776.0,400.0,A5
13,7816.0,405.0,A5
14,7248.0,410.0,A5
15,6573.0,415.0,A5
16,5827.0,420.0,A5
17,5237.0,425.0,A5
18,4718.0,430.0,A5
19,4306.0,435.0,A5
20,3922.0,440.0,A5
21,3619.0,445.0,A5
22,3336.0,450.0,A5
23,3061.0,455.0,A5
24,2853.0,460.0,A5
25,2742.0,465.0,A5
26,2671.0,470.0,A5
27,2668.0,475.0,A5
28,2614.0,480.0,A5
29,2557.0,485.0,A5
30,2483.0,490.0,A5
31,2419.0,495.0,A5
32,2352.0,500.0,A5
33,2251.0,505.0,A5
34,2126.0,510.0,A5
35,2058.0,515.0,A5
36,1962.0,520.0,A5
37,1876.0,525.0,A5
38,1777.0,530.0,A5
39,1680.0,535.0,A5
40,1568.0,540.0,A5
41,1464.0,545.0,A5
42,1380.0,550.0,A5
43,1291.0,555.0,A5
44,1199.0,560.0,A5
45,1122.0,565.0,A5
46,1043.0,570.0,A5
47,968.0,575.0,A5
48,901.0,580.0,A5
49,834.0,585.0,A5
50,771.0,590.0,A5
51,719.0,595.0,A5
52,655.0,600.0,A5
53,409365.0,340.0,A6
54,355900.0,345.0,A6
55,321826.0,350.0,A6
56,284043.0,355.0,A6
57,255498.0,360.0,A6
58,229479.0,365.0,A6
59,24051.0,370.0,A6
60,19261.0,375.0,A6
61,17362.0,380.0,A6
62,14846.0,385.0,A6
63,12264.0,390.0,A6
64,10503.0,395.0,A6
65,9377.0,400.0,A6
66,7540.0,405.0,A6
67,6921.0,410.0,A6
68,6265.0,415.0,A6
69,5539.0,420.0,A6
70,4933.0,425.0,A6
71,4429.0,430.0,A6
72,4016.0,435.0,A6
73,3651.0,440.0,A6
74,3308.0,445.0,A6
75,2946.0,450.0,A6
76,2666.0,455.0,A6
77,2449.0,460.0,A6
78,2275.0,465.0,A6
79,2167.0,470.0,A6
80,2087.0,475.0,A6
81,1982.0,480.0,A6
82,1896.0,485.0,A6
83,1787.0,490.0,A6
84,1697.0,495.0,A6
85,1605.0,500.0,A6
86,1506.0,505.0,A6
87,1412.0,510.0,A6
88,1335.0,515.0,A6
89,1242.0,520.0,A6
90,1177.0,525.0,A6
91,1109.0,530.0,A6
92,1032.0,535.0,A6
93,946.0,540.0,A6
94,897.0,545.0,A6
95,838.0,550.0,A6
96,782.0,555.0,A6
97,731.0,560.0,A6
98,676.0,565.0,A6
99,630.0,570.0,A6
100,583.0,575.0,A6
101,545.0,580.0,A6
102,508.0,585.0,A6
103,467.0,590.0,A6
104,447.0,595.0,A6
105,415.0,600.0,A6
106,407425.0,340.0,B6
107,356113.0,345.0,B6
108,316104.0,350.0,B6
109,284108.0,355.0,B6
110,255355.0,360.0,B6
111,227605.0,365.0,B6
112,21495.0,370.0,B6
113,17025.0,375.0,B6
114,15294.0,380.0,B6
115,13071.0,385.0,B6
116,10815.0,390.0,B6
117,9310.0,395.0,B6
118,8245.0,400.0,B6
119,6586.0,405.0,B6
120,6089.0,410.0,B6
121,5490.0,415.0,B6
122,4835.0,420.0,B6
123,4310.0,425.0,B6
124,3893.0,430.0,B6
125,3558.0,435.0,B6
126,3227.0,440.0,B6
127,2938.0,445.0,B6
128,2646.0,450.0,B6
129,2394.0,455.0,B6
130,2203.0,460.0,B6
131,2067.0,465.0,B6
132,1970.0,470.0,B6
133,1894.0,475.0,B6
134,1779.0,480.0,B6
135,1687.0,485.0,B6
136,1613.0,490.0,B6
137,1529.0,495.0,B6
138,1439.0,500.0,B6
139,1348.0,505.0,B6
140,1260.0,510.0,B6
141,1184.0,515.0,B6
142,1112.0,520.0,B6
143,1041.0,525.0,B6
144,986.0,530.0,B6
145,922.0,535.0,B6
146,852.0,540.0,B6
147,811.0,545.0,B6
148,755.0,550.0,B6
149,703.0,555.0,B6
150,658.0,560.0,B6
151,610.0,565.0,B6
152,564.0,570.0,B6
153,527.0,575.0,B6
154,494.0,580.0,B6
155,456.0,585.0,B6
156,421.0,590.0,B6
157,398.0,595.0,B6
158,374.0,600.0,B6
159,412407.0,340.0,B5
160,357156.0,345.0,B5
161,317466.0,350.0,B5
162,285217.0,355.0,B5
163,253862.0,360.0,B5
164,229989.0,365.0,B5
165,22168.0,370.0,B5
166,17807.0,375.0,B5
167,16172.0,380.0,B5
168,13810.0,385.0,B5
169,11529.0,390.0,B5
170,10004.0,395.0,B5
171,9037.0,400.0,B5
172,7294.0,405.0,B5
173,6801.0,410.0,B5
174,6274.0,415.0,B5
175,5643.0,420.0,B5
176,5213.0,425.0,B5
177,4862.0,430.0,B5
178,4554.0,435.0,B5
179,4308.0,440.0,B5
180,4084.0,445.0,B5
181,3807.0,450.0,B5
182,3563.0,455.0,B5
183,3340.0,460.0,B5
184,3209.0,465.0,B5
185,3157.0,470.0,B5
186,3099.0,475.0,B5
187,2992.0,480.0,B5
188,2895.0,485.0,B5
189,2743.0,490.0,B5
190,2624.0,495.0,B5
191,2492.0,500.0,B5
192,2340.0,505.0,B5
193,2203.0,510.0,B5
194,2063.0,515.0,B5
195,1933.0,520.0,B5
196,1825.0,525.0,B5
197,1707.0,530.0,B5
198,1594.0,535.0,B5
199,1463.0,540.0,B5
200,1373.0,545.0,B5
201,1279.0,550.0,B5
202,1169.0,555.0,B5
203,1097.0,560.0,B5
204,1018.0,565.0,B5
205,943.0,570.0,B5
206,857.0,575.0,B5
207,800.0,580.0,B5
208,740.0,585.0,B5
209,684.0,590.0,B5
210,632.0,595.0,B5
211,595.0,600.0,B5
212,408067.0,340.0,C5
213,353551.0,345.0,C5
214,318092.0,350.0,C5
215,283041.0,355.0,C5
216,254591.0,360.0,C5
217,227390.0,365.0,C5
218,26895.0,370.0,C5
219,23732.0,375.0,C5
220,23008.0,380.0,C5
221,21337.0,385.0,C5
222,19303.0,390.0,C5
223,18569.0,395.0,C5
224,18424.0,400.0,C5
225,16385.0,405.0,C5
226,16717.0,410.0,C5
227,16468.0,415.0,C5
228,15923.0,420.0,C5
229,15401.0,425.0,C5
230,14818.0,430.0,C5
231,14336.0,435.0,C5
232,13740.0,440.0,C5
233,12987.0,445.0,C5
234,12020.0,450.0,C5
235,10934.0,455.0,C5
236,10105.0,460.0,C5
237,9449.0,465.0,C5
238,8933.0,470.0,C5
239,8462.0,475.0,C5
240,7876.0,480.0,C5
241,7241.0,485.0,C5
242,6669.0,490.0,C5
243,6155.0,495.0,C5
244,5621.0,500.0,C5
245,5111.0,505.0,C5
246,4622.0,510.0,C5
247,4221.0,515.0,C5
248,3815.0,520.0,C5
249,3468.0,525.0,C5
250,3132.0,530.0,C5
251,2815.0,535.0,C5
252,2538.0,540.0,C5
253,2323.0,545.0,C5
254,2073.0,550.0,C5
255,1883.0,555.0,C5
256,1702.0,560.0,C5
257,1534.0,565.0,C5
258,1398.0,570.0,C5
259,1246.0,575.0,C5
260,1135.0,580.0,C5
261,1029.0,585.0,C5
262,927.0,590.0,C5
263,846.0,595.0,C5
264,769.0,600.0,C5
265,408384.0,340.0,C6
266,355730.0,345.0,C6
267,317302.0,350.0,C6
268,282209.0,355.0,C6
269,254596.0,360.0,C6
270,229198.0,365.0,C6
271,19353.0,370.0,C6
272,15147.0,375.0,C6
