,fluorescence,wavelength (nm),Well
0,3252958.0,280.0,A5
1,2567277.0,285.0,A5
2,2093170.0,290.0,A5
3,1703180.0,295.0,A5
4,1397802.0,300.0,A5
5,1118667.0,305.0,A5
6,229325.0,310.0,A5
7,224903.0,315.0,A5
8,210878.0,320.0,A5
9,190726.0,325.0,A5
10,168062.0,330.0,A5
11,143628.0,335.0,A5
12,120906.0,340.0,A5
13,99859.0,345.0,A5
14,82177.0,350.0,A5
15,68091.0,355.0,A5
16,54635.0,360.0,A5
17,44779.0,365.0,A5
18,50547.0,370.0,A5
19,41878.0,375.0,A5
20,30602.0,380.0,A5
21,22013.0,385.0,A5
22,15229.0,390.0,A5
23,10837.0,395.0,A5
24,8483.0,400.0,A5
25,5782.0,405.0,A5
26,5059.0,410.0,A5
27,3819.0,415.0,A5
28,2645.0,420.0,A5
29,2009.0,425.0,A5
30,1660.0,430.0,A5
31,1334.0,435.0,A5
32,1090.0,440.0,A5
33,929.0,445.0,A5
34,756.0,450.0,A5
35,612.0,455.0,A5
36,523.0,460.0,A5
37,462.0,465.0,A5
38,416.0,470.0,A5
39,373.0,475.0,A5
40,339.0,480.0,A5
41,311.0,485.0,A5
42,283.0,490.0,A5
43,270.0,495.0,A5
44,237.0,500.0,A5
45,226.0,505.0,A5
46,201.0,510.0,A5
47,189.0,515.0,A5
48,171.0,520.0,A5
49,167.0,525.0,A5
50,155.0,530.0,A5
51,153.0,535.0,A5
52,151.0,540.0,A5
53,164.0,545.0,A5
54,175.0,550.0,A5
55,189.0,555.0,A5
56,198.0,560.0,A5
57,181.0,565.0,A5
58,154.0,570.0,A5
59,125.0,575.0,A5
60,96.0,580.0,A5
61,81.0,585.0,A5
62,71.0,590.0,A5
63,63.0,595.0,A5
64,61.0,600.0,A5
65,3360348.0,280.0,A6
66,2791363.0,285.0,A6
67,2206922.0,290.0,A6
68,1817414.0,295.0,A6
69,1484654.0,300.0,A6
70,1160022.0,305.0,A6
71,167602.0,310.0,A6
72,151598.0,315.0,A6
73,131597.0,320.0,A6
74,109158.0,325.0,A6
75,86662.0,330.0,A6
76,68709.0,335.0,A6
77,53027.0,340.0,A6
78,41354.0,345.0,A6
79,31999.0,350.0,A6
80,24748.0,355.0,A6
81,20079.0,360.0,A6
82,15520.0,365.0,A6
83,12366.0,370.0,A6
84,9736.0,375.0,A6
85,7243.0,380.0,A6
86,5332.0,385.0,A6
87,3823.0,390.0,A6
88,2874.0,395.0,A6
89,2308.0,400.0,A6
90,1582.0,405.0,A6
91,1365.0,410.0,A6
92,1131.0,415.0,A6
93,929.0,420.0,A6
94,758.0,425.0,A6
95,661.0,430.0,A6
96,574.0,435.0,A6
97,504.0,440.0,A6
98,446.0,445.0,A6
99,394.0,450.0,A6
100,348.0,455.0,A6
101,313.0,460.0,A6
102,288.0,465.0,A6
