,fluorescence,wavelength (nm),Well
233,2505.0,445.0,C5
234,2189.0,450.0,C5
235,1901.0,455.0,C5
236,1654.0,460.0,C5
237,1471.0,465.0,C5
238,1326.0,470.0,C5
239,1219.0,475.0,C5
240,1120.0,480.0,C5
241,1012.0,485.0,C5
242,921.0,490.0,C5
243,825.0,495.0,C5
244,754.0,500.0,C5
245,675.0,505.0,C5
246,611.0,510.0,C5
247,561.0,515.0,C5
248,509.0,520.0,C5
249,472.0,525.0,C5
250,436.0,530.0,C5
251,400.0,535.0,C5
252,369.0,540.0,C5
253,338.0,545.0,C5
254,313.0,550.0,C5
255,292.0,555.0,C5
256,274.0,560.0,C5
257,247.0,565.0,C5
258,235.0,570.0,C5
259,215.0,575.0,C5
260,200.0,580.0,C5
261,185.0,585.0,C5
262,178.0,590.0,C5
263,164.0,595.0,C5
264,156.0,600.0,C5
265,413307.0,340.0,C6
266,363919.0,345.0,C6
267,326763.0,350.0,C6
268,292358.0,355.0,C6
269,261266.0,360.0,C6
270,234704.0,365.0,C6
271,21140.0,370.0,C6
272,16604.0,375.0,C6
273,14863.0,380.0,C6
274,12620.0,385.0,C6
275,10397.0,390.0,C6
276,8922.0,395.0,C6
277,7878.0,400.0,C6
278,6265.0,405.0,C6
279,5668.0,410.0,C6
280,5093.0,415.0,C6
281,4391.0,420.0,C6
282,3847.0,425.0,C6
283,3402.0,430.0,C6
284,2980.0,435.0,C6
285,2632.0,440.0,C6
286,2303.0,445.0,C6
287,1993.0,450.0,C6
288,1720.0,455.0,C6
289,1504.0,460.0,C6
290,1346.0,465.0,C6
291,1214.0,470.0,C6
292,1116.0,475.0,C6
293,1020.0,480.0,C6
294,910.0,485.0,C6
295,836.0,490.0,C6
296,755.0,495.0,C6
297,687.0,500.0,C6
298,610.0,505.0,C6
299,560.0,510.0,C6
300,510.0,515.0,C6
301,466.0,520.0,C6
302,425.0,525.0,C6
303,390.0,530.0,C6
304,359.0,535.0,C6
305,332.0,540.0,C6
306,307.0,545.0,C6
307,288.0,550.0,C6
308,267.0,555.0,C6
309,243.0,560.0,C6
310,232.0,565.0,C6
311,220.0,570.0,C6
312,201.0,575.0,C6
313,188.0,580.0,C6
314,178.0,585.0,C6
315,161.0,590.0,C6
316,151.0,595.0,C6
317,144.0,600.0,C6
318,420548.0,340.0,D6
319,365320.0,345.0,D6
320,327153.0,350.0,D6
321,291361.0,355.0,D6
322,261147.0,360.0,D6
323,234305.0,365.0,D6
324,21931.0,370.0,D6
325,17476.0,375.0,D6
326,15694.0,380.0,D6
327,13408.0,385.0,D6
328,11128.0,390.0,D6
329,9411.0,395.0,D6
330,8363.0,400.0,D6
331,6646.0,405.0,D6
332,6072.0,410.0,D6
333,5457.0,415.0,D6
334,4763.0,420.0,D6
335,4129.0,425.0,D6
336,3646.0,430.0,D6
337,3191.0,435.0,D6
338,2783.0,440.0,D6
339,2450.0,445.0,D6
340,2115.0,450.0,D6
341,1835.0,455.0,D6
342,1594.0,460.0,D6
343,1404.0,465.0,D6
344,1282.0,470.0,D6
345,1166.0,475.0,D6
346,1074.0,480.0,D6
347,962.0,485.0,D6
348,875.0,490.0,D6
349,786.0,495.0,D6
350,717.0,500.0,D6
351,645.0,505.0,D6
352,580.0,510.0,D6
353,531.0,515.0,D6
354,490.0,520.0,D6
355,451.0,525.0,D6
356,412.0,530.0,D6
357,379.0,535.0,D6
358,349.0,540.0,D6
359,321.0,545.0,D6
360,302.0,550.0,D6
361,278.0,555.0,D6
362,253.0,560.0,D6
363,237.0,565.0,D6
364,217.0,570.0,D6
365,196.0,575.0,D6
366,193.0,580.0,D6
367,180.0,585.0,D6
368,166.0,590.0,D6
369,156.0,595.0,D6
370,149.0,600.0,D6
371,414612.0,340.0,D5
372,363700.0,345.0,D5
373,323412.0,350.0,D5
374,290992.0,355.0,D5
375,261722.0,360.0,D5
376,234290.0,365.0,D5
377,22295.0,370.0,D5
378,17451.0,375.0,D5
379,15591.0,380.0,D5
380,13166.0,385.0,D5
381,10943.0,390.0,D5
382,9238.0,395.0,D5
383,8200.0,400.0,D5
384,6451.0,405.0,D5
385,5933.0,410.0,D5
386,5279.0,415.0,D5
387,4583.0,420.0,D5
388,4031.0,425.0,D5
389,3520.0,430.0,D5
390,3109.0,435.0,D5
391,2706.0,440.0,D5
392,2377.0,445.0,D5
393,2055.0,450.0,D5
394,1771.0,455.0,D5
395,1534.0,460.0,D5
396,1370.0,465.0,D5
397,1240.0,470.0,D5
398,1131.0,475.0,D5
399,1027.0,480.0,D5
400,942.0,485.0,D5
401,843.0,490.0,D5
402,769.0,495.0,D5
403,691.0,500.0,D5
404,628.0,505.0,D5
405,566.0,510.0,D5
406,506.0,515.0,D5
407,475.0,520.0,D5
408,431.0,525.0,D5
409,402.0,530.0,D5
410,368.0,535.0,D5
411,339.0,540.0,D5
412,313.0,545.0,D5
413,288.0,550.0,D5
414,269.0,555.0,D5
415,247.0,560.0,D5
416,230.0,565.0,D5
417,223.0,570.0,D5
418,203.0,575.0,D5
419,190.0,580.0,D5
420,177.0,585.0,D5
421,168.0,590.0,D5
422,155.0,595.0,D5
