,fluorescence,wavelength (nm),Well
0,407310.0,340.0,A5
1,359378.0,345.0,A5
2,316269.0,350.0,A5
3,288476.0,355.0,A5
4,258663.0,360.0,A5
5,230338.0,365.0,A5
6,24618.0,370.0,A5
7,19997.0,375.0,A5
8,18003.0,380.0,A5
9,15429.0,385.0,A5
10,12814.0,390.0,A5
11,11076.0,395.0,A5
12,9949.0,400.0,A5
13,7993.0,405.0,A5
14,7357.0,410.0,A5
15,6598.0,415.0,A5
16,5868.0,420.0,A5
17,5223.0,425.0,A5
18,4641.0,430.0,A5
19,4232.0,435.0,A5
20,3807.0,440.0,A5
21,3467.0,445.0,A5
22,3154.0,450.0,A5
23,2848.0,455.0,A5
24,2643.0,460.0,A5
25,2498.0,465.0,A5
26,2427.0,470.0,A5
27,2388.0,475.0,A5
28,2336.0,480.0,A5
29,2270.0,485.0,A5
30,2205.0,490.0,A5
31,2139.0,495.0,A5
32,2061.0,500.0,A5
33,1977.0,505.0,A5
34,1883.0,510.0,A5
35,1795.0,515.0,A5
36,1709.0,520.0,A5
37,1635.0,525.0,A5
38,1544.0,530.0,A5
39,1468.0,535.0,A5
40,1364.0,540.0,A5
41,1283.0,545.0,A5
42,1197.0,550.0,A5
43,1120.0,555.0,A5
44,1041.0,560.0,A5
45,974.0,565.0,A5
46,915.0,570.0,A5
47,834.0,575.0,A5
48,781.0,580.0,A5
49,722.0,585.0,A5
50,660.0,590.0,A5
51,620.0,595.0,A5
52,570.0,600.0,A5
53,408809.0,340.0,A6
54,360153.0,345.0,A6
55,319178.0,350.0,A6
56,287480.0,355.0,A6
57,257508.0,360.0,A6
58,230200.0,365.0,A6
59,24972.0,370.0,A6
60,20080.0,375.0,A6
61,17976.0,380.0,A6
62,15371.0,385.0,A6
63,12742.0,390.0,A6
64,10903.0,395.0,A6
65,9742.0,400.0,A6
66,7790.0,405.0,A6
67,7174.0,410.0,A6
68,6450.0,415.0,A6
69,5633.0,420.0,A6
70,5020.0,425.0,A6
71,4444.0,430.0,A6
72,3956.0,435.0,A6
73,3588.0,440.0,A6
74,3221.0,445.0,A6
75,2854.0,450.0,A6
76,2524.0,455.0,A6
77,2277.0,460.0,A6
78,2078.0,465.0,A6
79,1952.0,470.0,A6
80,1867.0,475.0,A6
81,1748.0,480.0,A6
82,1641.0,485.0,A6
83,1534.0,490.0,A6
84,1449.0,495.0,A6
85,1342.0,500.0,A6
86,1248.0,505.0,A6
87,1171.0,510.0,A6
88,1092.0,515.0,A6
89,1012.0,520.0,A6
90,956.0,525.0,A6
91,891.0,530.0,A6
92,839.0,535.0,A6
93,775.0,540.0,A6
94,729.0,545.0,A6
95,676.0,550.0,A6
96,638.0,555.0,A6
97,586.0,560.0,A6
98,541.0,565.0,A6
99,514.0,570.0,A6
100,470.0,575.0,A6
101,442.0,580.0,A6
102,412.0,585.0,A6
103,383.0,590.0,A6
104,358.0,595.0,A6
105,337.0,600.0,A6
106,413715.0,340.0,B6
107,361355.0,345.0,B6
108,322608.0,350.0,B6
109,285419.0,355.0,B6
110,257090.0,360.0,B6
111,230963.0,365.0,B6
112,22482.0,370.0,B6
113,17763.0,375.0,B6
114,16025.0,380.0,B6
115,13545.0,385.0,B6
116,11263.0,390.0,B6
117,9635.0,395.0,B6
118,8550.0,400.0,B6
119,6831.0,405.0,B6
120,6296.0,410.0,B6
121,5633.0,415.0,B6
122,4944.0,420.0,B6
123,4378.0,425.0,B6
124,3921.0,430.0,B6
125,3511.0,435.0,B6
126,3135.0,440.0,B6
127,2845.0,445.0,B6
128,2546.0,450.0,B6
129,2255.0,455.0,B6
130,2063.0,460.0,B6
131,1885.0,465.0,B6
132,1783.0,470.0,B6
