,fluorescence,wavelength (nm),Well
0,3240038.0,280.0,A5
1,2598075.0,285.0,A5
2,2101103.0,290.0,A5
3,1706370.0,295.0,A5
4,1392658.0,300.0,A5
5,1048112.0,305.0,A5
6,219954.0,310.0,A5
7,215013.0,315.0,A5
8,199989.0,320.0,A5
9,180136.0,325.0,A5
10,157250.0,330.0,A5
11,134547.0,335.0,A5
12,113082.0,340.0,A5
13,93633.0,345.0,A5
14,76753.0,350.0,A5
15,62091.0,355.0,A5
16,50478.0,360.0,A5
17,40499.0,365.0,A5
18,31850.0,370.0,A5
19,24423.0,375.0,A5
20,17981.0,380.0,A5
21,12813.0,385.0,A5
22,9258.0,390.0,A5
23,6946.0,395.0,A5
24,5483.0,400.0,A5
25,3883.0,405.0,A5
26,3206.0,410.0,A5
27,2626.0,415.0,A5
28,2067.0,420.0,A5
29,1689.0,425.0,A5
30,1407.0,430.0,A5
31,1165.0,435.0,A5
32,962.0,440.0,A5
33,821.0,445.0,A5
34,680.0,450.0,A5
35,580.0,455.0,A5
36,503.0,460.0,A5
37,443.0,465.0,A5
38,399.0,470.0,A5
39,366.0,475.0,A5
40,359.0,480.0,A5
41,313.0,485.0,A5
42,302.0,490.0,A5
43,274.0,495.0,A5
44,258.0,500.0,A5
45,237.0,505.0,A5
46,228.0,510.0,A5
47,216.0,515.0,A5
48,195.0,520.0,A5
49,194.0,525.0,A5
50,175.0,530.0,A5
51,163.0,535.0,A5
52,160.0,540.0,A5
53,176.0,545.0,A5
54,189.0,550.0,A5
55,197.0,555.0,A5
56,192.0,560.0,A5
57,181.0,565.0,A5
58,157.0,570.0,A5
59,133.0,575.0,A5
60,106.0,580.0,A5
61,90.0,585.0,A5
62,75.0,590.0,A5
63,72.0,595.0,A5
64,68.0,600.0,A5
65,3306617.0,280.0,A6
66,2705721.0,285.0,A6
67,2201158.0,290.0,A6
68,1772789.0,295.0,A6
69,1435593.0,300.0,A6
70,932933.0,305.0,A6
71,163299.0,310.0,A6
72,148773.0,315.0,A6
73,133958.0,320.0,A6
74,109417.0,325.0,A6
75,87810.0,330.0,A6
76,69955.0,335.0,A6
77,56053.0,340.0,A6
78,43560.0,345.0,A6
79,32555.0,350.0,A6
80,25398.0,355.0,A6
81,19828.0,360.0,A6
82,15615.0,365.0,A6
83,12291.0,370.0,A6
84,9948.0,375.0,A6
85,7426.0,380.0,A6
86,5523.0,385.0,A6
87,3764.0,390.0,A6
