,fluorescence,wavelength (nm),Well
0,415992.0,340.0,A5
1,369213.0,345.0,A5
2,326912.0,350.0,A5
3,292558.0,355.0,A5
4,260372.0,360.0,A5
5,236194.0,365.0,A5
6,27373.0,370.0,A5
7,20740.0,375.0,A5
8,18667.0,380.0,A5
9,16006.0,385.0,A5
10,13192.0,390.0,A5
11,11391.0,395.0,A5
12,10177.0,400.0,A5
13,8022.0,405.0,A5
14,7336.0,410.0,A5
15,6568.0,415.0,A5
16,5716.0,420.0,A5
17,5045.0,425.0,A5
18,4388.0,430.0,A5
19,3882.0,435.0,A5
20,3374.0,440.0,A5
21,2930.0,445.0,A5
22,2528.0,450.0,A5
23,2176.0,455.0,A5
24,1886.0,460.0,A5
25,1666.0,465.0,A5
26,1499.0,470.0,A5
27,1360.0,475.0,A5
28,1234.0,480.0,A5
29,1103.0,485.0,A5
30,998.0,490.0,A5
31,897.0,495.0,A5
32,819.0,500.0,A5
33,723.0,505.0,A5
34,655.0,510.0,A5
35,592.0,515.0,A5
36,543.0,520.0,A5
37,495.0,525.0,A5
38,457.0,530.0,A5
39,416.0,535.0,A5
40,379.0,540.0,A5
41,353.0,545.0,A5
42,321.0,550.0,A5
43,307.0,555.0,A5
44,276.0,560.0,A5
45,259.0,565.0,A5
46,240.0,570.0,A5
47,218.0,575.0,A5
48,211.0,580.0,A5
49,198.0,585.0,A5
50,184.0,590.0,A5
51,171.0,595.0,A5
52,157.0,600.0,A5
53,417263.0,340.0,A6
54,363470.0,345.0,A6
55,327592.0,350.0,A6
56,290252.0,355.0,A6
57,263244.0,360.0,A6
58,232075.0,365.0,A6
59,26919.0,370.0,A6
60,20994.0,375.0,A6
61,18881.0,380.0,A6
62,15975.0,385.0,A6
63,13301.0,390.0,A6
64,11214.0,395.0,A6
65,9867.0,400.0,A6
66,7860.0,405.0,A6
67,7130.0,410.0,A6
68,6399.0,415.0,A6
69,5510.0,420.0,A6
70,4838.0,425.0,A6
71,4213.0,430.0,A6
72,3708.0,435.0,A6
73,3252.0,440.0,A6
74,2804.0,445.0,A6
75,2405.0,450.0,A6
76,2060.0,455.0,A6
77,1785.0,460.0,A6
78,1586.0,465.0,A6
79,1415.0,470.0,A6
80,1287.0,475.0,A6
81,1167.0,480.0,A6
82,1051.0,485.0,A6
83,944.0,490.0,A6
84,844.0,495.0,A6
85,763.0,500.0,A6
86,682.0,505.0,A6
87,610.0,510.0,A6
88,553.0,515.0,A6
89,507.0,520.0,A6
90,475.0,525.0,A6
91,429.0,530.0,A6
92,389.0,535.0,A6
93,354.0,540.0,A6
94,327.0,545.0,A6
95,303.0,550.0,A6
96,285.0,555.0,A6
97,258.0,560.0,A6
98,243.0,565.0,A6
99,227.0,570.0,A6
100,212.0,575.0,A6
101,198.0,580.0,A6
102,179.0,585.0,A6
103,174.0,590.0,A6
104,160.0,595.0,A6
105,151.0,600.0,A6
106,416729.0,340.0,A7
107,366384.0,345.0,A7
108,323598.0,350.0,A7
109,293361.0,355.0,A7
110,260888.0,360.0,A7
111,234668.0,365.0,A7
112,27033.0,370.0,A7
113,21099.0,375.0,A7
114,19095.0,380.0,A7
115,16203.0,385.0,A7
116,13391.0,390.0,A7
117,11510.0,395.0,A7
118,10415.0,400.0,A7
119,8336.0,405.0,A7
120,7884.0,410.0,A7
121,7270.0,415.0,A7
122,6514.0,420.0,A7
123,5822.0,425.0,A7
124,5204.0,430.0,A7
125,4694.0,435.0,A7
126,4221.0,440.0,A7
127,3743.0,445.0,A7
128,3267.0,450.0,A7
129,2828.0,455.0,A7
130,2461.0,460.0,A7
131,2138.0,465.0,A7
132,1951.0,470.0,A7
133,1756.0,475.0,A7
134,1581.0,480.0,A7
135,1414.0,485.0,A7
136,1249.0,490.0,A7
137,1098.0,495.0,A7
138,971.0,500.0,A7
139,866.0,505.0,A7
140,765.0,510.0,A7
141,680.0,515.0,A7
142,616.0,520.0,A7
143,548.0,525.0,A7
144,495.0,530.0,A7
145,447.0,535.0,A7
146,401.0,540.0,A7
147,374.0,545.0,A7
148,345.0,550.0,A7
149,310.0,555.0,A7
150,284.0,560.0,A7
151,258.0,565.0,A7
152,240.0,570.0,A7
153,224.0,575.0,A7
154,210.0,580.0,A7
155,185.0,585.0,A7
156,179.0,590.0,A7
157,168.0,595.0,A7
158,159.0,600.0,A7
159,413853.0,340.0,A8
160,361179.0,345.0,A8
161,323210.0,350.0,A8
162,290478.0,355.0,A8
163,260045.0,360.0,A8
164,234883.0,365.0,A8
165,27943.0,370.0,A8
166,22256.0,375.0,A8
167,20387.0,380.0,A8
168,17444.0,385.0,A8
169,14545.0,390.0,A8
170,12658.0,395.0,A8
171,11400.0,400.0,A8
172,9111.0,405.0,A8
173,8498.0,410.0,A8
174,7756.0,415.0,A8
175,6842.0,420.0,A8
176,6102.0,425.0,A8
177,5454.0,430.0,A8
178,4814.0,435.0,A8
179,4292.0,440.0,A8
180,3779.0,445.0,A8
181,3291.0,450.0,A8
182,2830.0,455.0,A8
183,2446.0,460.0,A8
184,2157.0,465.0,A8
185,1960.0,470.0,A8
186,1766.0,475.0,A8
187,1607.0,480.0,A8
188,1452.0,485.0,A8
189,1281.0,490.0,A8
190,1159.0,495.0,A8
191,1034.0,500.0,A8
192,925.0,505.0,A8
193,829.0,510.0,A8
194,753.0,515.0,A8
195,687.0,520.0,A8
196,616.0,525.0,A8
197,573.0,530.0,A8
198,514.0,535.0,A8
199,472.0,540.0,A8
200,436.0,545.0,A8
201,395.0,550.0,A8
202,369.0,555.0,A8
203,338.0,560.0,A8
204,315.0,565.0,A8
205,283.0,570.0,A8
206,262.0,575.0,A8
207,248.0,580.0,A8
208,231.0,585.0,A8
209,216.0,590.0,A8
210,199.0,595.0,A8
211,190.0,600.0,A8
212,412273.0,340.0,B8
213,363780.0,345.0,B8
214,322168.0,350.0,B8
215,290766.0,355.0,B8
216,263064.0,360.0,B8
217,234098.0,365.0,B8
218,24954.0,370.0,B8
219,19303.0,375.0,B8
220,17289.0,380.0,B8
221,14703.0,385.0,B8
222,12210.0,390.0,B8
223,10407.0,395.0,B8
224,9213.0,400.0,B8
225,7263.0,405.0,B8
226,6604.0,410.0,B8
227,5883.0,415.0,B8
228,5108.0,420.0,B8
229,4467.0,425.0,B8
230,3862.0,430.0,B8
231,3400.0,435.0,B8
232,2966.0,440.0,B8
233,2586.0,445.0,B8
234,2204.0,450.0,B8
235,1896.0,455.0,B8
236,1642.0,460.0,B8
237,1461.0,465.0,B8
238,1311.0,470.0,B8
239,1194.0,475.0,B8
240,1083.0,480.0,B8
241,967.0,485.0,B8
242,874.0,490.0,B8
243,780.0,495.0,B8
244,703.0,500.0,B8
245,633.0,505.0,B8
246,577.0,510.0,B8
247,515.0,515.0,B8
248,472.0,520.0,B8
249,436.0,525.0,B8
250,395.0,530.0,B8
251,362.0,535.0,B8
252,333.0,540.0,B8
253,311.0,545.0,B8
254,282.0,550.0,B8
255,265.0,555.0,B8
256,252.0,560.0,B8
257,228.0,565.0,B8
258,215.0,570.0,B8
259,197.0,575.0,B8
260,188.0,580.0,B8
261,172.0,585.0,B8
262,159.0,590.0,B8
263,153.0,595.0,B8
264,144.0,600.0,B8
265,415739.0,340.0,B7
266,364594.0,345.0,B7
267,327207.0,350.0,B7
268,290337.0,355.0,B7
269,261579.0,360.0,B7
270,234947.0,365.0,B7
271,25510.0,370.0,B7
272,19770.0,375.0,B7
273,17921.0,380.0,B7
274,15357.0,385.0,B7
275,12663.0,390.0,B7
276,10931.0,395.0,B7
277,9643.0,400.0,B7
278,7631.0,405.0,B7
279,6954.0,410.0,B7
280,6292.0,415.0,B7
281,5436.0,420.0,B7
282,4816.0,425.0,B7
283,4203.0,430.0,B7
284,3687.0,435.0,B7
285,3233.0,440.0,B7
286,2832.0,445.0,B7
287,2429.0,450.0,B7
288,2075.0,455.0,B7
289,1791.0,460.0,B7
290,1572.0,465.0,B7
291,1410.0,470.0,B7
292,1284.0,475.0,B7
293,1176.0,480.0,B7
294,1032.0,485.0,B7
295,934.0,490.0,B7
296,837.0,495.0,B7
297,740.0,500.0,B7
298,661.0,505.0,B7
299,597.0,510.0,B7
300,543.0,515.0,B7
301,490.0,520.0,B7
302,449.0,525.0,B7
303,408.0,530.0,B7
304,371.0,535.0,B7
305,340.0,540.0,B7
306,318.0,545.0,B7
307,295.0,550.0,B7
308,266.0,555.0,B7
309,252.0,560.0,B7
310,231.0,565.0,B7
311,218.0,570.0,B7
312,197.0,575.0,B7
313,178.0,580.0,B7
314,176.0,585.0,B7
315,162.0,590.0,B7
316,155.0,595.0,B7
317,142.0,600.0,B7
318,417510.0,340.0,B6
