fluorescence,Ligand (uM),Protein (uM)
339,0,1
342,0.008,1
359,0.017,1
372,0.038,1
451,0.084,1
597,0.183,1
1094,0.4,1
2477,0.875,1
3239,1.913,1
4196,4.183,1
4797,9.146,1
6150,20,1
